94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737,94.737
18008,8979.7,6169.7,4628.7,3689.7,3043.7,2593.7,2345.7,2141.7,1944.7
2.0569e+06,1.0954e+06,7.4599e+05,5.6611e+05,4.5643e+05,3.817e+05,3.2898e+05,2.8733e+05,2.5607e+05,2.3116e+05
1.594e+06,9.6968e+05,6.9073e+05,5.3374e+05,4.3589e+05,3.6788e+05,3.1851e+05,2.8094e+05,2.5119e+05,2.2676e+05
1.2245e+06,8.5037e+05,6.3291e+05,4.9944e+05,4.1459e+05,3.5272e+05,3.0756e+05,2.7105e+05,2.4346e+05,2.2186e+05
9.42e+05,7.4646e+05,5.7917e+05,4.7026e+05,3.9259e+05,3.3859e+05,2.9567e+05,2.6373e+05,2.3664e+05,2.1487e+05
7.2395e+05,6.5255e+05,5.3033e+05,4.3943e+05,3.727e+05,3.2209e+05,2.8411e+05,2.547e+05,2.295e+05,2.0843e+05
5.569e+05,5.7093e+05,4.8529e+05,4.1069e+05,3.5388e+05,3.0895e+05,2.7415e+05,2.4589e+05,2.2256e+05,2.0428e+05
4.2812e+05,5.0187e+05,4.4518e+05,3.8403e+05,3.3539e+05,2.9582e+05,2.6361e+05,2.3867e+05,2.1805e+05,1.9951e+05
3.2798e+05,4.3959e+05,4.0674e+05,3.5941e+05,3.1713e+05,2.832e+05,2.5417e+05,2.3087e+05,2.1101e+05,1.9252e+05
2.529e+05,3.8621e+05,3.7297e+05,3.3744e+05,3.0148e+05,2.708e+05,2.4439e+05,2.2248e+05,2.0473e+05,1.8906e+05
1.9469e+05,3.3854e+05,3.4207e+05,3.1575e+05,2.8665e+05,2.5945e+05,2.3629e+05,2.1568e+05,1.9881e+05,1.8359e+05
1.4954e+05,2.9592e+05,3.1265e+05,2.9432e+05,2.7065e+05,2.4769e+05,2.2755e+05,2.0936e+05,1.9248e+05,1.7872e+05
1.1511e+05,2.5944e+05,2.8646e+05,2.7729e+05,2.5768e+05,2.3745e+05,2.1844e+05,2.0233e+05,1.8765e+05,1.7529e+05
88157,2.2795e+05,2.6326e+05,2.5903e+05,2.4481e+05,2.2784e+05,2.1007e+05,1.9538e+05,1.8227e+05,1.7015e+05
67824,2.0008e+05,2.4159e+05,2.4277e+05,2.3254e+05,2.1753e+05,2.0299e+05,1.8907e+05,1.7681e+05,1.6521e+05
51844,1.7484e+05,2.2054e+05,2.2825e+05,2.1999e+05,2.0868e+05,1.9582e+05,1.8297e+05,1.7139e+05,1.6145e+05
40244,1.5345e+05,2.0209e+05,2.1299e+05,2.0862e+05,1.9881e+05,1.8867e+05,1.7785e+05,1.664e+05,1.5658e+05
31135,1.3502e+05,1.8544e+05,1.9927e+05,1.9701e+05,1.9073e+05,1.8125e+05,1.7167e+05,1.6117e+05,1.5277e+05
23607,1.1871e+05,1.6928e+05,1.8612e+05,1.8785e+05,1.8323e+05,1.747e+05,1.6561e+05,1.5667e+05,1.4867e+05
18141,1.0384e+05,1.5477e+05,1.7421e+05,1.7888e+05,1.7524e+05,1.6801e+05,1.6119e+05,1.5208e+05,1.4428e+05
14027,90516,1.4246e+05,1.6303e+05,1.6882e+05,1.6712e+05,1.6254e+05,1.5527e+05,1.4839e+05,1.4132e+05
10876,79860,1.3049e+05,1.5343e+05,1.607e+05,1.6001e+05,1.5573e+05,1.507e+05,1.442e+05,1.3824e+05
8232.7,70069,1.1914e+05,1.4393e+05,1.5247e+05,1.5294e+05,1.5091e+05,1.457e+05,1.3947e+05,1.3397e+05
6431.7,61273,1.0951e+05,1.3417e+05,1.4447e+05,1.4534e+05,1.4487e+05,1.4055e+05,1.3568e+05,1.3045e+05
5067.7,53887,1.0021e+05,1.2583e+05,1.364e+05,1.4057e+05,1.3949e+05,1.358e+05,1.3177e+05,1.2769e+05
3846.7,46480,92230,1.1795e+05,1.297e+05,1.3426e+05,1.3438e+05,1.3182e+05,1.2877e+05,1.2393e+05
2996.7,41135,83639,1.1047e+05,1.2351e+05,1.2855e+05,1.2953e+05,1.2729e+05,1.2507e+05,1.2076e+05
2370.7,36129,77254,1.0347e+05,1.1693e+05,1.2324e+05,1.2494e+05,1.2334e+05,1.2063e+05,1.1772e+05
1774.7,32001,70450,96369,1.1074e+05,1.1766e+05,1.1945e+05,1.1947e+05,1.1731e+05,1.1519e+05
1370.7,27988,64356,90139,1.0545e+05,1.124e+05,1.1549e+05,1.1619e+05,1.1476e+05,1.1135e+05
1060.7,24436,59377,85503,99677,1.0718e+05,1.1102e+05,1.1126e+05,1.1064e+05,1.0861e+05
859.74,21534,54539,79831,94789,1.0338e+05,1.0723e+05,1.0837e+05,1.078e+05,1.0636e+05
673.74,18999,49504,74368,89879,98834,1.0321e+05,1.0556e+05,1.0482e+05,1.0287e+05
526.74,16442,45512,69876,85113,95135,99797,1.0076e+05,1.0123e+05,1.0069e+05
435.74,14468,41072,65268,81253,90847,95586,98480,98409,97664
