,,bg,bg,bg,no_bg,no_bg,no_bg
,,A1,tau1,tau2,A1,tau1,tau2
0,86,0.504645318188776,2.2692992168976085,3.1785741082907664,0.5053231324293637,2.2900786927180676,3.143947950495287
0,87,0.5234717467442472,1.9185710761699528,3.3890910035842836,0.5242961641771082,1.9298508809780635,3.364655526828252
0,88,0.5006912002134449,2.1972407781557686,3.3184605718946334,0.5014368097943422,2.2137126109100693,3.2884390979444507
0,89,0.5009097212690965,2.2339107934244686,3.2694329615620514,0.5016115478685221,2.251574967727539,3.2384460514981894
0,90,-0.37726185339160717,2.8353254084495463,2.8059289878871234,0.4781427393928389,2.7839945851884527,2.7837590606252127
0,91,0.49269634042141613,2.8606955853906855,2.861514998136507,-2.702178628315887,2.5058469406395596,2.60305549180838
0,92,0.5086930061293696,2.1357586595246567,3.2972802416085214,0.5094641745810068,2.1510676831706284,3.268411927304855
0,93,0.5040673925614282,2.3559586756196467,3.0762305148480054,0.5046295717822687,2.384113014616749,3.0337158104666253
0,94,0.48581289812839473,2.8160295523313468,2.815897877089094,0.4817351823128315,2.804984184360825,2.805030399959252
0,95,0.5098591787412395,2.186911149773946,3.218248276011611,0.510610054425624,2.2046701843825582,3.186535762777485
0,96,0.4993738242683938,2.759357330034485,2.7587567419087993,0.4991615320958809,2.748084861985572,2.748325106740364
0,97,0.49370268080642365,2.5233046127408807,2.9928569219971104,0.49368416708901897,2.5753634021669867,2.9273158090324216
0,98,0.47947651258964147,2.67438043348426,2.9777432569321522,0.477427094746483,2.8241963701644734,2.8242294028465564
0,99,0.47142900764738377,2.794009857149026,2.7933670328491265,0.21899135999910677,2.7828215998168995,2.782571097126005
1,0,0.5004534797411564,2.2289935042774363,3.2812818300985525,0.5011633798015147,2.246444259654234,3.2504647710262207
1,1,0.5071417733984028,2.2143000217842634,3.2172174129067326,0.5078701784222851,2.232708892855768,3.1849609930617166
1,2,0.49439518161766854,2.3827621232797744,3.161859403965737,0.49493653711201163,2.409097439275131,3.1219000424421863
1,3,0.48699335517167075,2.6626358351170683,2.899717056077346,0.47598355394795216,2.7756666955940776,2.774805286848202
1,4,0.4755414547643041,2.776240133551577,2.7756258625134307,0.34979947015588636,2.7668111388641305,2.7640671076355137
1,5,0.4985805668866966,2.3578884088230136,3.141577432490437,0.49915560489907285,2.383696908638072,3.101867733087298
1,6,0.48962713547494374,2.5211328879166017,3.045950272981051,0.4897193637418487,2.565696169793641,2.9885107549656236
1,7,0.5063249928983903,2.2524140332665152,3.179155457467269,0.5070215910459333,2.272715668963067,3.1449010580204635
1,8,0.4934568316283799,2.406619936704729,3.1433106806061772,0.49395086808330535,2.434959088386414,3.101404170004825
1,9,0.49736324031857193,2.408305113693864,3.0929212508334554,0.4978329116023973,2.4389403804612027,3.048415195989141
1,10,0.3852372544337134,2.790244795138936,2.7902921515691004,0.5313984361235462,2.779765771507967,2.7789058544161858
1,11,0.48719377744242925,2.7095500015011473,2.83797075535561,0.479047226699211,2.7664887579597344,2.7638188694142882
1,12,0.20466612499575715,2.77389540885168,2.772675565037697,0.7506733491932595,2.7634786316659308,2.75665475757637
