,,chisqr,redchi,_val,init_value,stderr,correl
0,22,120.27539320477254,0.8715608203244387,"['0.139', '0.0165', '2.71']","['0.497', '2.43', '3.07']","['0.0173', '0.0726', '0.0465']","[{'tau1': '0.208', 'tau2': '0.802'} {'A1': '0.208', 'tau2': '0.165'}
 {'A1': '0.802', 'tau1': '0.165'}]"
0,23,110.35073302172496,0.8114024486891541,"['0.784', '2.33', '3.55']","['0.497', '2.43', '3.07']","['0.899', '0.683', '2.79']","[{'tau1': '0.98', 'tau2': '0.98'} {'A1': '0.98', 'tau2': '0.921'}
 {'A1': '0.98', 'tau1': '0.921'}]"
0,24,100.67514421466501,0.7348550672603286,"['0.791', '2.19', '4.19']","['0.497', '2.43', '3.07']","['0.849', '0.783', '5.78']","[{'tau1': '0.993', 'tau2': '0.997'} {'A1': '0.993', 'tau2': '0.983'}
 {'A1': '0.997', 'tau1': '0.983'}]"
0,25,100.87960792993704,0.7310116516662104,"['0.774', '2.04', '4.72']","['0.497', '2.43', '3.07']","['0.684', '0.803', '6.36']","[{'tau1': '0.996', 'tau2': '0.999'} {'A1': '0.996', 'tau2': '0.991'}
 {'A1': '0.999', 'tau1': '0.991'}]"
0,26,127.41059976529594,0.9232652156905503,"['0.831', '2.18', '4.59']","['0.497', '2.43', '3.07']","['1.06', '1.13', '10.9']","[{'tau1': '0.997', 'tau2': '0.999'} {'A1': '0.997', 'tau2': '0.993'}
 {'A1': '0.999', 'tau1': '0.993'}]"
0,27,115.23182292863817,0.8290059203499148,"['0.198', '0.805', '2.95']","['0.497', '2.43', '3.07']","['0.0564', '0.28', '0.116']","[{'tau1': '0.814', 'tau2': '0.947'} {'A1': '0.814', 'tau2': '0.673'}
 {'A1': '0.947', 'tau1': '0.673'}]"
0,28,97.41712383333055,0.7059211871980474,"['0.806', '2.28', '3.88']","['0.497', '2.43', '3.07']","['1.2', '0.98', '6.33']","[{'tau1': '0.995', 'tau2': '0.997'} {'A1': '0.995', 'tau2': '0.985'}
 {'A1': '0.997', 'tau1': '0.985'}]"
0,29,115.36834547687083,0.8299880969559053,"['0.142', '0.0499', '2.81']","['0.497', '2.43', '3.07']","['0.0168', '0.0399', '0.0472']","[{'tau1': '0.193', 'tau2': '0.802'} {'A1': '0.193', 'tau2': '0.152'}
 {'A1': '0.802', 'tau1': '0.152'}]"
0,30,154.61029554467163,1.145261448479049,"['0.145', '0.0367', '2.73']","['0.497', '2.43', '3.07']","['0.0213', '0.0676', '0.0586']","[{'tau1': '0.279', 'tau2': '0.818'} {'A1': '0.279', 'tau2': '0.225'}
 {'A1': '0.818', 'tau1': '0.225'}]"
0,31,94.45072655680183,0.6795016299050491,"['0.601', '2.43', '3.07']","['0.497', '2.43', '3.07']","['2.85', '1.41', '2.58']","[{'tau1': '0.979', 'tau2': '0.984'} {'A1': '0.979', 'tau2': '0.929'}
 {'A1': '0.984', 'tau1': '0.929'}]"
0,32,137.90708242679182,0.9993266842521146,"['0.737', '2.23', '3.78']","['0.497', '2.43', '3.07']","['0.95', '0.864', '3.44']","[{'tau1': '0.989', 'tau2': '0.993'} {'A1': '0.989', 'tau2': '0.965'}
 {'A1': '0.993', 'tau1': '0.965'}]"
0,33,138.67873658770537,0.997688752429535,"['0.758', '2.43', '3.08']","['0.497', '2.43', '3.07']","['8.84', '2.31', '17.2']","[{'tau1': '0.99', 'tau2': '0.998'} {'A1': '0.99', 'tau2': '0.979'}
 {'A1': '0.998', 'tau1': '0.979'}]"
0,34,101.86070017719848,0.7328107926417157,"['0.769', '2.24', '3.85']","['0.497', '2.43', '3.07']","['1.22', '1.07', '5.31']","[{'tau1': '0.995', 'tau2': '0.997'} {'A1': '0.995', 'tau2': '0.986'}
 {'A1': '0.997', 'tau1': '0.986'}]"
0,35,116.60227304280102,0.851111482064241,"['0.848', '2.24', '4.38']","['0.497', '2.43', '3.07']","['1.4', '1.28', '14']","[{'tau1': '0.998', 'tau2': '0.999'} {'A1': '0.998', 'tau2': '0.994'}
 {'A1': '0.999', 'tau1': '0.994'}]"
0,36,136.37923602612028,1.002788500192061,"['0.7', '2.43', '3.08']","['0.497', '2.43', '3.07']","['9.93', '2.6', '16']","[{'tau1': '0.989', 'tau2': '0.998'} {'A1': '0.989', 'tau2': '0.979'}
 {'A1': '0.998', 'tau1': '0.979'}]"
0,37,116.40838718669731,0.8496962568372066,"['0.767', '2.13', '4.3']","['0.497', '2.43', '3.07']","['1.83', '1.82', '12.5']","[{'tau1': '0.999', 'tau2': '0.999'} {'A1': '0.999', 'tau2': '0.997'}
 {'A1': '0.999', 'tau1': '0.997'}]"
0,38,121.53602235142321,0.8743598730318217,"['0.694', '2.24', '3.64']","['0.497', '2.43', '3.07']","['4.36', '3.59', '12.5']","[{'tau1': '0.999', 'tau2': '1'} {'A1': '0.999', 'tau2': '0.998'}
 {'A1': '1', 'tau1': '0.998'}]"
0,39,131.18811901950488,0.94379941740651,"['0.754', '2.32', '3.53']","['0.497', '2.43', '3.07']","['1.05', '0.822', '2.83']","[{'tau1': '0.984', 'tau2': '0.984'} {'A1': '0.984', 'tau2': '0.939'}
 {'A1': '0.984', 'tau1': '0.939'}]"
0,40,84.87806118612863,0.6106335337131557,"['0.693', '2.29', '3.51']","['0.497', '2.43', '3.07']","['1.73', '1.3', '4.12']","[{'tau1': '0.995', 'tau2': '0.997'} {'A1': '0.995', 'tau2': '0.984'}
 {'A1': '0.997', 'tau1': '0.984'}]"
0,41,114.97990558970176,0.8454404822772188,"['0.937', '2.31', '5.15']","['0.497', '2.43', '3.07']","['0.549', '0.619', '18']","[{'tau1': '0.993', 'tau2': '0.996'} {'A1': '0.993', 'tau2': '0.981'}
 {'A1': '0.996', 'tau1': '0.981'}]"
0,42,126.2672985397121,0.9216591134285554,"['0.493', '1.57', '3.37']","['0.497', '2.43', '3.07']","['0.206', '0.297', '0.532']","[{'tau1': '0.93', 'tau2': '0.977'} {'A1': '0.93', 'tau2': '0.839'}
 {'A1': '0.977', 'tau1': '0.839'}]"
0,43,285.01596413096155,2.175694382679096,"['1.3', '2.22', '2.21']","['0.497', '2.43', '3.07']","['110', '0.166', '0.328']","[{'tau1': '-0.876', 'tau2': '-0.349'} {'A1': '-0.876', 'tau2': '0.729'}
 {'A1': '-0.349', 'tau1': '0.729'}]"
0,44,117.16470830656274,0.8429115705508111,"['0.729', '2.21', '3.82']","['0.497', '2.43', '3.07']","['1.36', '1.28', '5']","[{'tau1': '0.996', 'tau2': '0.997'} {'A1': '0.996', 'tau2': '0.988'}
 {'A1': '0.997', 'tau1': '0.988'}]"
0,45,114.03323910760784,0.8263278196203466,"['0.133', '0.0309', '2.74']","['0.497', '2.43', '3.07']","['0.0178', '0.0573', '0.0483']","[{'tau1': '0.246', 'tau2': '0.816'} {'A1': '0.246', 'tau2': '0.199'}
 {'A1': '0.816', 'tau1': '0.199'}]"
0,46,110.58957611426914,0.7956084612537347,"['0.73', '2.24', '3.71']","['0.497', '2.43', '3.07']","['0.9', '0.834', '2.84']","[{'tau1': '0.99', 'tau2': '0.992'} {'A1': '0.99', 'tau2': '0.966'}
 {'A1': '0.992', 'tau1': '0.966'}]"
0,47,150.70647147688783,1.0842192192581859,"['0.253', '0.959', '2.93']","['0.497', '2.43', '3.07']","['0.116', '0.412', '0.216']","[{'tau1': '0.929', 'tau2': '0.976'} {'A1': '0.929', 'tau2': '0.856'}
 {'A1': '0.976', 'tau1': '0.856'}]"
0,48,165.32385440965143,1.2246211437751957,"['1.12', '2.42', '2.43']","['0.497', '2.43', '3.07']","['15.3', '0.289', '0.835']","[{'tau1': '0.982', 'tau2': '0.866'} {'A1': '0.982', 'tau2': '0.934'}
 {'A1': '0.866', 'tau1': '0.934'}]"
0,49,81.71074846441311,0.5921068729305298,"['0.125', '0.0148', '2.72']","['0.497', '2.43', '3.07']","['0.0146', '0.0451', '0.0393']","[{'tau1': '0.118', 'tau2': '0.807'} {'A1': '0.118', 'tau2': '0.0943'}
 {'A1': '0.807', 'tau1': '0.0943'}]"
