,,,A1,tau1,tau2
0,19,init_value,0.497,2.43,3.07
0,19,stderr,2.257548671779943,0.9515978531362699,3.31040135299171
0,19,correl,"{'tau1': '0.964', 'tau2': '0.967'}","{'A1': '0.964', 'tau2': '0.866'}","{'A1': '0.967', 'tau1': '0.866'}"
0,20,_val,0.13256724444137946,0.11267234280338312,2.73711391830804
0,20,init_value,0.497,2.43,3.07
0,20,stderr,0.019479008693227412,0.09479944336653534,0.050533774515721094
0,20,correl,"{'tau1': '0.422', 'tau2': '0.841'}","{'A1': '0.422', 'tau2': '0.342'}","{'A1': '0.841', 'tau1': '0.342'}"
0,21,_val,0.29520897012277403,1.1956313986958165,2.97915540220804
0,21,init_value,0.497,2.43,3.07
0,21,stderr,0.15868275271527896,0.4299293824898944,0.2745473770574044
0,21,correl,"{'tau1': '0.939', 'tau2': '0.977'}","{'A1': '0.939', 'tau2': '0.861'}","{'A1': '0.977', 'tau1': '0.861'}"
0,22,_val,0.13909574624714405,0.016479099094978356,2.708626219456635
0,22,init_value,0.497,2.43,3.07
0,22,stderr,0.017348458603345596,0.07255636048041046,0.04652000153584966
0,22,correl,"{'tau1': '0.208', 'tau2': '0.802'}","{'A1': '0.208', 'tau2': '0.165'}","{'A1': '0.802', 'tau1': '0.165'}"
0,23,_val,0.783539433525059,2.3305756785545277,3.5496832283731514
0,23,init_value,0.497,2.43,3.07
0,23,stderr,0.8987452691701293,0.6833993732179433,2.786929511197573
0,23,correl,"{'tau1': '0.98', 'tau2': '0.98'}","{'A1': '0.98', 'tau2': '0.921'}","{'A1': '0.98', 'tau1': '0.921'}"
0,24,_val,0.7910986614785063,2.194559263189499,4.194961384884404
0,24,init_value,0.497,2.43,3.07
0,24,stderr,0.8490389020148295,0.78262138719827,5.777188332631058
0,24,correl,"{'tau1': '0.993', 'tau2': '0.997'}","{'A1': '0.993', 'tau2': '0.983'}","{'A1': '0.997', 'tau1': '0.983'}"
0,25,_val,0.7741569428818527,2.0365743811247805,4.720850959685878
0,25,init_value,0.497,2.43,3.07
0,25,stderr,0.6840721638109625,0.8027662925762351,6.363149968248844
0,25,correl,"{'tau1': '0.996', 'tau2': '0.999'}","{'A1': '0.996', 'tau2': '0.991'}","{'A1': '0.999', 'tau1': '0.991'}"
0,26,_val,0.8311638650101973,2.175168310837259,4.5851635829459285
0,26,init_value,0.497,2.43,3.07
0,26,stderr,1.057318751088773,1.1303501146227801,10.878010328794733
0,26,correl,"{'tau1': '0.997', 'tau2': '0.999'}","{'A1': '0.997', 'tau2': '0.993'}","{'A1': '0.999', 'tau1': '0.993'}"
0,27,_val,0.19824017205260636,0.8053103985593502,2.949401206428363
0,27,init_value,0.497,2.43,3.07
0,27,stderr,0.056409997625127925,0.2798656628043691,0.11637004678669213
0,27,correl,"{'tau1': '0.814', 'tau2': '0.947'}","{'A1': '0.814', 'tau2': '0.673'}","{'A1': '0.947', 'tau1': '0.673'}"
0,28,_val,0.8062725022289152,2.2778092137208588,3.879127824879145
0,28,init_value,0.497,2.43,3.07
0,28,stderr,1.2042477027568432,0.9796217579084704,6.333744901674229
0,28,correl,"{'tau1': '0.995', 'tau2': '0.997'}","{'A1': '0.995', 'tau2': '0.985'}","{'A1': '0.997', 'tau1': '0.985'}"
0,29,_val,0.14230483920299375,0.04985511034739987,2.811674143185768
0,29,init_value,0.497,2.43,3.07
0,29,stderr,0.01678356793896298,0.03992690670570561,0.04723436246139929
0,29,correl,"{'tau1': '0.193', 'tau2': '0.802'}","{'A1': '0.193', 'tau2': '0.152'}","{'A1': '0.802', 'tau1': '0.152'}"
0,30,_val,0.145369366643459,0.03667625650872153,2.7260940887295515
0,30,init_value,0.497,2.43,3.07
0,30,stderr,0.021251727454050462,0.06759178618140746,0.058631382770452246
0,30,correl,"{'tau1': '0.279', 'tau2': '0.818'}","{'A1': '0.279', 'tau2': '0.225'}","{'A1': '0.818', 'tau1': '0.225'}"
0,31,_val,0.6013075306748614,2.4291140348261178,3.0711343303907626
0,31,init_value,0.497,2.43,3.07
0,31,stderr,2.848881001695812,1.410146065396046,2.580959545316314
0,31,correl,"{'tau1': '0.979', 'tau2': '0.984'}","{'A1': '0.979', 'tau2': '0.929'}","{'A1': '0.984', 'tau1': '0.929'}"
0,32,_val,0.7370851010323729,2.2304996580203986,3.7808935990948056
0,32,init_value,0.497,2.43,3.07
0,32,stderr,0.950450812216861,0.8642990554309065,3.440630651868262
0,32,correl,"{'tau1': '0.989', 'tau2': '0.993'}","{'A1': '0.989', 'tau2': '0.965'}","{'A1': '0.993', 'tau1': '0.965'}"
0,33,_val,0.7578869677402271,2.4277865046006766,3.0826967285273685
0,33,init_value,0.497,2.43,3.07
0,33,stderr,8.842379226371804,2.311091499115717,17.176754391336384
0,33,correl,"{'tau1': '0.99', 'tau2': '0.998'}","{'A1': '0.99', 'tau2': '0.979'}","{'A1': '0.998', 'tau1': '0.979'}"
0,34,_val,0.769154583012805,2.244664167460366,3.8492622385971336
0,34,init_value,0.497,2.43,3.07
0,34,stderr,1.2217290971794015,1.0672255279027545,5.313699051880498
0,34,correl,"{'tau1': '0.995', 'tau2': '0.997'}","{'A1': '0.995', 'tau2': '0.986'}","{'A1': '0.997', 'tau1': '0.986'}"
0,35,_val,0.8484619950185628,2.241887252522669,4.375527104065597
0,35,init_value,0.497,2.43,3.07
0,35,stderr,1.3963946362676876,1.27949641415724,14.00843940976741
0,35,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.994'}","{'A1': '0.999', 'tau1': '0.994'}"
0,36,_val,0.7000687794115286,2.42805974578904,3.0788792929556275
0,36,init_value,0.497,2.43,3.07
0,36,stderr,9.927161123672795,2.595494667503601,15.983329938790467
0,36,correl,"{'tau1': '0.989', 'tau2': '0.998'}","{'A1': '0.989', 'tau2': '0.979'}","{'A1': '0.998', 'tau1': '0.979'}"
0,37,_val,0.7673657080840752,2.1319797549403567,4.298739644031855
0,37,init_value,0.497,2.43,3.07
0,37,stderr,1.8334737099426834,1.8201782741936976,12.523876094359801
0,37,correl,"{'tau1': '0.999', 'tau2': '0.999'}","{'A1': '0.999', 'tau2': '0.997'}","{'A1': '0.999', 'tau1': '0.997'}"
0,38,_val,0.6941421307371882,2.240690050446807,3.6387529955739035
0,38,init_value,0.497,2.43,3.07
0,38,stderr,4.358213354334355,3.5911099601495406,12.477241230388346
0,38,correl,"{'tau1': '0.999', 'tau2': '1'}","{'A1': '0.999', 'tau2': '0.998'}","{'A1': '1', 'tau1': '0.998'}"
0,39,_val,0.7544028039492323,2.317985182428669,3.526210421525289
0,39,init_value,0.497,2.43,3.07
0,39,stderr,1.052498581361638,0.8224999985512553,2.8322940511805945
0,39,correl,"{'tau1': '0.984', 'tau2': '0.984'}","{'A1': '0.984', 'tau2': '0.939'}","{'A1': '0.984', 'tau1': '0.939'}"
0,40,_val,0.6934248207470841,2.2905122732425474,3.5066928591095907
0,40,init_value,0.497,2.43,3.07
0,40,stderr,1.7254029383294647,1.295424950764951,4.11948965880584
0,40,correl,"{'tau1': '0.995', 'tau2': '0.997'}","{'A1': '0.995', 'tau2': '0.984'}","{'A1': '0.997', 'tau1': '0.984'}"
0,41,_val,0.9366896221909433,2.3146091614710795,5.148221894593007
0,41,init_value,0.497,2.43,3.07
0,41,stderr,0.5494196224508531,0.6185427538640647,17.981206541705024
0,41,correl,"{'tau1': '0.993', 'tau2': '0.996'}","{'A1': '0.993', 'tau2': '0.981'}","{'A1': '0.996', 'tau1': '0.981'}"
0,42,_val,0.49345701584468227,1.5654180446605475,3.369013652120155
0,42,init_value,0.497,2.43,3.07
0,42,stderr,0.20580868336358452,0.29678863580931913,0.532249027382121
0,42,correl,"{'tau1': '0.93', 'tau2': '0.977'}","{'A1': '0.93', 'tau2': '0.839'}","{'A1': '0.977', 'tau1': '0.839'}"
0,43,_val,1.3034632583444918,2.2156435151353593,2.2142318172577364
0,43,init_value,0.497,2.43,3.07
0,43,stderr,109.54066651793993,0.16581671718159324,0.3282310905408144
0,43,correl,"{'tau1': '-0.876', 'tau2': '-0.349'}","{'A1': '-0.876', 'tau2': '0.729'}","{'A1': '-0.349', 'tau1': '0.729'}"
0,44,_val,0.7290954992160879,2.208254334172083,3.81809516777468
0,44,init_value,0.497,2.43,3.07
0,44,stderr,1.3603102961824873,1.275762071898765,5.0031320019527765
0,44,correl,"{'tau1': '0.996', 'tau2': '0.997'}","{'A1': '0.996', 'tau2': '0.988'}","{'A1': '0.997', 'tau1': '0.988'}"
0,45,_val,0.13321992381677483,0.030887792099547173,2.7350297611420933
0,45,init_value,0.497,2.43,3.07
0,45,stderr,0.017799813093721268,0.057325088141604155,0.04831651444197805
0,45,correl,"{'tau1': '0.246', 'tau2': '0.816'}","{'A1': '0.246', 'tau2': '0.199'}","{'A1': '0.816', 'tau1': '0.199'}"
0,46,_val,0.7301074533449436,2.241474290288131,3.712515280498298
0,46,init_value,0.497,2.43,3.07
0,46,stderr,0.9003832528512355,0.8337986084568988,2.8436260396805744
0,46,correl,"{'tau1': '0.99', 'tau2': '0.992'}","{'A1': '0.99', 'tau2': '0.966'}","{'A1': '0.992', 'tau1': '0.966'}"
0,47,_val,0.2533973298681438,0.9588029658448727,2.926241520070941
0,47,init_value,0.497,2.43,3.07
0,47,stderr,0.11623066363409722,0.4115382954453572,0.21641914350655636
0,47,correl,"{'tau1': '0.929', 'tau2': '0.976'}","{'A1': '0.929', 'tau2': '0.856'}","{'A1': '0.976', 'tau1': '0.856'}"
0,48,_val,1.124382042996821,2.4152630056378834,2.4302210605147265
0,48,init_value,0.497,2.43,3.07
0,48,stderr,15.30553872974903,0.2887415251658428,0.8346756733223294
0,48,correl,"{'tau1': '0.982', 'tau2': '0.866'}","{'A1': '0.982', 'tau2': '0.934'}","{'A1': '0.866', 'tau1': '0.934'}"
0,49,_val,0.12547307840361377,0.014846397733222716,2.72247022680062
0,49,init_value,0.497,2.43,3.07
0,49,stderr,0.01455800362443709,0.0450652527660303,0.03928505303928292
0,49,correl,"{'tau1': '0.118', 'tau2': '0.807'}","{'A1': '0.118', 'tau2': '0.0943'}","{'A1': '0.807', 'tau1': '0.0943'}"
0,50,_val,0.13711782321539245,0.007986477596571229,2.7496847288530133
0,50,init_value,0.497,2.43,3.07
0,50,stderr,0.014589348912000515,0.045176150791339666,0.04043432873506573
0,50,correl,"{'tau1': '0.0182', 'tau2': '0.803'}","{'A1': '0.0182', 'tau2': '0.0145'}","{'A1': '0.803', 'tau1': '0.0145'}"
0,51,_val,0.6624150174022418,2.2956026481251044,3.4328233354477113
0,51,init_value,0.497,2.43,3.07
0,51,stderr,1.7622007042786825,1.4331434875885716,3.2731869130761932
0,51,correl,"{'tau1': '0.993', 'tau2': '0.994'}","{'A1': '0.993', 'tau2': '0.975'}","{'A1': '0.994', 'tau1': '0.975'}"
0,52,_val,0.7035483034082726,2.246142213289419,3.6460961470742372
0,52,init_value,0.497,2.43,3.07
0,52,stderr,2.8688209907978868,2.38137962516095,8.371692448500642
0,52,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.995'}","{'A1': '0.999', 'tau1': '0.995'}"
0,53,_val,0.15744195853959742,0.026515652547975055,2.8055258066188493
0,53,init_value,0.497,2.43,3.07
0,53,stderr,0.017537443586380118,0.06367420442040701,0.050950845018440535
0,53,correl,"{'tau1': '0.296', 'tau2': '0.817'}","{'A1': '0.296', 'tau2': '0.239'}","{'A1': '0.817', 'tau1': '0.239'}"
0,54,_val,0.17735196859201996,0.9138472477916473,2.7512401046924957
0,54,init_value,0.497,2.43,3.07
0,54,stderr,0.09937014418216503,0.7749279129030927,0.12632333421087755
0,54,correl,"{'tau1': '0.908', 'tau2': '0.922'}","{'A1': '0.908', 'tau2': '0.71'}","{'A1': '0.922', 'tau1': '0.71'}"
0,55,_val,0.7985012672870531,2.2619013530857477,3.89671416162125
0,55,init_value,0.497,2.43,3.07
0,55,stderr,1.172452589544111,1.0391523209872795,5.807291247552441
0,55,correl,"{'tau1': '0.995', 'tau2': '0.996'}","{'A1': '0.995', 'tau2': '0.982'}","{'A1': '0.996', 'tau1': '0.982'}"
0,56,_val,0.7437850867588531,2.2190703215583696,3.847771655718911
0,56,init_value,0.497,2.43,3.07
0,56,stderr,1.9100140042026448,1.71967532491278,7.701403668226607
0,56,correl,"{'tau1': '0.998', 'tau2': '0.999'}","{'A1': '0.998', 'tau2': '0.993'}","{'A1': '0.999', 'tau1': '0.993'}"
0,57,_val,0.8624425030782681,2.2425091690294052,4.4779186633377694
0,57,init_value,0.497,2.43,3.07
0,57,stderr,0.7989276240710448,0.7964202618383488,8.981644075520954
0,57,correl,"{'tau1': '0.995', 'tau2': '0.997'}","{'A1': '0.995', 'tau2': '0.986'}","{'A1': '0.997', 'tau1': '0.986'}"
0,58,_val,0.12829706516015604,0.6047768883298854,2.6917606527820075
0,58,init_value,0.497,2.43,3.07
0,58,stderr,0.049601380561508215,0.7856638070647056,0.07789389772762148
0,58,correl,"{'tau1': '0.779', 'tau2': '0.871'}","{'A1': '0.779', 'tau2': '0.476'}","{'A1': '0.871', 'tau1': '0.476'}"
0,59,_val,0.7037455910128074,1.8666847065598136,4.003012306453246
0,59,init_value,0.497,2.43,3.07
0,59,stderr,0.20942214322928898,0.2609236966795273,1.0834267761653809
0,59,correl,"{'tau1': '0.939', 'tau2': '0.972'}","{'A1': '0.939', 'tau2': '0.839'}","{'A1': '0.972', 'tau1': '0.839'}"
0,60,_val,0.4050310222558333,1.8374885593416015,2.9358269644944985
0,60,init_value,0.497,2.43,3.07
0,60,stderr,0.2973423215882779,0.43687371801343683,0.4066296735064846
0,60,correl,"{'tau1': '0.721', 'tau2': '0.861'}","{'A1': '0.721', 'tau2': '0.277'}","{'A1': '0.861', 'tau1': '0.277'}"
0,61,_val,0.6867701409792448,2.2355537076056753,3.639597284045073
0,61,init_value,0.497,2.43,3.07
0,61,stderr,1.942913919230316,1.6202675457171898,5.487570470462497
0,61,correl,"{'tau1': '0.997', 'tau2': '0.998'}","{'A1': '0.997', 'tau2': '0.991'}","{'A1': '0.998', 'tau1': '0.991'}"
0,62,_val,0.5603842717934544,2.2238280677980846,3.39851262969124
0,62,init_value,0.497,2.43,3.07
0,62,stderr,1.9479797693500454,1.782052663808395,3.083830018650001
0,62,correl,"{'tau1': '0.995', 'tau2': '0.996'}","{'A1': '0.995', 'tau2': '0.983'}","{'A1': '0.996', 'tau1': '0.983'}"
0,63,_val,0.6772166459192297,2.310858937779499,3.4218450322038594
0,63,init_value,0.497,2.43,3.07
0,63,stderr,1.4431468759529318,1.0980582491659234,2.8042615168066742
0,63,correl,"{'tau1': '0.99', 'tau2': '0.991'}","{'A1': '0.99', 'tau2': '0.963'}","{'A1': '0.991', 'tau1': '0.963'}"
0,64,_val,0.7814121381537589,2.260139600106506,3.8385792847060483
0,64,init_value,0.497,2.43,3.07
0,64,stderr,0.9302894244617856,0.8156723432790702,4.109780125840195
0,64,correl,"{'tau1': '0.99', 'tau2': '0.993'}","{'A1': '0.99', 'tau2': '0.967'}","{'A1': '0.993', 'tau1': '0.967'}"
0,65,_val,0.1344385180175116,0.005432307989066576,2.7473296082479783
0,65,init_value,0.497,2.43,3.07
0,65,stderr,0.016444700318986243,0.14419405359297394,0.04542842451948766
0,65,correl,"{'tau1': '0.00521', 'tau2': '0.802'}","{'A1': '0.00521', 'tau2': '0.00415'}","{'A1': '0.802', 'tau1': '0.00415'}"
0,66,_val,0.741605966389359,2.429301317314058,3.073814453384073
0,66,init_value,0.497,2.43,3.07
0,66,stderr,2.030895619871766,0.9342472190120772,2.6542339030876914
0,66,correl,"{'tau1': '0.957', 'tau2': '0.952'}","{'A1': '0.957', 'tau2': '0.823'}","{'A1': '0.952', 'tau1': '0.823'}"
0,67,_val,0.715722840992167,2.0053834786475044,4.370002628480419
0,67,init_value,0.497,2.43,3.07
0,67,stderr,0.6638946477749819,0.7774569733118997,4.113800686270848
0,67,correl,"{'tau1': '0.995', 'tau2': '0.998'}","{'A1': '0.995', 'tau2': '0.988'}","{'A1': '0.998', 'tau1': '0.988'}"
0,68,_val,0.7551169031393128,2.1493809829918673,4.135677515419109
0,68,init_value,0.497,2.43,3.07
0,68,stderr,3.8209384277185143,3.7810698422473856,21.41358256849805
0,68,correl,"{'tau1': '1', 'tau2': '1'}","{'A1': '1', 'tau2': '0.999'}","{'A1': '1', 'tau1': '0.999'}"
0,69,_val,0.8700073377958968,2.2269250176027637,4.701248007858482
0,69,init_value,0.497,2.43,3.07
0,69,stderr,0.7507054114769681,0.7966231008080277,10.25086165926627
0,69,correl,"{'tau1': '0.995', 'tau2': '0.998'}","{'A1': '0.995', 'tau2': '0.987'}","{'A1': '0.998', 'tau1': '0.987'}"
0,70,_val,0.5871517872442618,1.9019267806819826,3.2620753689882873
0,70,init_value,0.497,2.43,3.07
0,70,stderr,0.26274088111140925,0.28161258102025477,0.6038872976112758
0,70,correl,"{'tau1': '0.851', 'tau2': '0.928'}","{'A1': '0.851', 'tau2': '0.603'}","{'A1': '0.928', 'tau1': '0.603'}"
