,,bg,bg,bg,bg,bg,bg,bg,bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale
,,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success
0,0,3.99474693785813,0.41562013316726043,0.5843798668327397,2.3068350118663123,2.811921782602905,1.2076536258581134,281,True,0,0.5042334190619057,0.49576658093809434,1.9384335594500968,3.654535170331008,1.204203726692443,379,True,0.01781769528303312,0.1383156264882628,0.8616843735117372,0.02159030358550096,2.631749089695492,0.005716437782669027,1054,True,0,0.13702737082524385,0.8629726291747561,0.029124648837329792,2.836540404805891,0.005634172431756522,798,True
0,1,2.2083866743249962,0.4511975429912212,0.5488024570087787,2.2443229702612166,2.9743974934205326,1.1737708781748222,301,True,0,0.48441006279369137,0.5155899372063087,2.053123665857074,3.3954975825082796,1.1707580881082207,289,True,0.004227096035014366,0.20121930975931335,0.7987806902406867,0.893533792590381,2.8656588788615927,0.006095935616975626,814,True,0,0.8268567892584047,0.17314321074159533,1.8023749886467,10.721684071159236,0.006289608854485024,247,True
0,2,0.010780619550753823,0.4187556338054549,0.5812443661945452,2.481230139319426,3.0768767589834374,0.8526646051985282,201,True,0,0.4196052758222747,0.5803947241777252,2.470532848074222,3.0755442039436156,0.8491425537257773,124,True,2.4437257506448873e-07,0.8248783977978498,0.17512160220215023,1.9959630428505037,5.8776383318341585,0.00575983981224318,525,True,0,0.7696742420697349,0.2303257579302651,1.584456418046357,11.076769552550587,0.005512619009736844,241,True
0,3,1.7159412755395613,0.44012542745004846,0.5598745725499515,2.1060228310654714,3.0345814424635744,0.903117341285532,356,True,0,0.4705970992067881,0.5294029007932118,1.9734260728029374,3.3437808342265596,0.90154186300026,290,True,1.2193637857205175e-06,0.9079050831178355,0.09209491688216453,2.050759184281622,8.917873203374704,0.0052413546430672055,547,True,0,0.881391800526363,0.11860819947363699,1.7353315415639936,358677715462.7402,0.005757084751516079,237,True
0,4,2.871814516147046,0.47621446831031344,0.5237855316896867,2.315712148634756,2.8587195511948083,0.8399389682625975,312,True,0,0.5044078196825154,0.4955921803174846,2.0258014077341047,3.444451839308547,0.8393434792078006,292,True,0.002915167073169078,0.5662516966656159,0.4337483033343841,2.075778855675018,3.4967070030039693,0.004329780205085848,553,True,0,0.6327298464159183,0.36727015358408166,2.0658164139223967,4.028510573057479,0.0038497706539165296,213,True
0,5,1.2680988661440118,0.46869026281215753,0.5313097371878425,2.304797689161306,3.0152524213635026,0.9250360848966371,304,True,0,0.46214107153853734,0.5378589284614628,2.3619619632879307,3.0769976225161653,0.9242839546508462,124,True,0.0047504651622989336,0.0828393701669945,0.9171606298330055,0.010224464459649196,2.7148235747962124,0.004463146801778045,1058,True,0,0.7338701947938042,0.2661298052061958,1.8319779240845877,5.96916685275824,0.005411585583186978,245,True
0,6,1.198923817200222,0.4712108571883624,0.5287891428116377,2.336479454170761,3.000667641853232,0.6862625709360816,307,True,0,0.46496251677705,0.5350374832229501,2.376372421976653,3.076440920890822,0.6868111694410387,124,True,3.368356304989106e-08,0.5204099982935078,0.47959000170649224,1.8339153539428161,3.5090194575480007,0.0037057079154034053,526,True,0,0.7293388346163248,0.27066116538367524,1.9108297687736302,5.352722757562129,0.0037645227119617827,249,True
0,7,0.7450647127026566,0.5035427388079967,0.4964572611920034,2.3631439317876697,3.057207748583739,1.1402240131132537,200,True,0,0.5002974213527167,0.4997025786472834,2.4155293612996016,3.069708081451247,1.1364397550424443,85,True,0.006759404587368012,0.5321441219349974,0.4678558780650026,2.457780848522824,2.93588957488367,0.005911348913505135,286,True,0,0.45534281278274036,0.5446571872172596,2.431708888438828,3.0684879853000684,0.006592478740452068,74,True
0,8,0.0032934474297909855,0.3678552463543816,0.6321447536456184,1.4264468341249352,3.260958653486889,0.8391578890252068,669,True,0,0.4397918023098442,0.5602081976901558,1.6043155592520169,3.386583996006703,0.8396385691544049,293,True,7.934498169603899e-09,0.9551600799718092,0.044839920028190816,1.895249341044356,7264885744834529.0,0.006706526403524825,545,True,0,0.8630960579445828,0.13690394205541723,1.4100658758463873,1070458218897.2252,0.00604170822833655,235,True
