,,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg
,,c,A1,A2,tau1,tau2,red_chi2,nfev,success
0,0,0.0,0.9794457963373329,0.020554203662667178,2.584233308575743,113001.17747695293,0.8319846644387494,343,True
0,1,0.0,3.3046031702614695e-07,0.9999996695396829,3.084517192106018,2.8088838268372043,0.9880347377077937,68,True
0,2,0.0,0.9823163776481016,0.017683622351898347,2.5758313995846467,241931.178312977,0.8649668583407208,337,True
0,3,0.0,0.9854061313044179,0.014593868695582173,2.6391351669919194,32131.383048030864,0.9399477587429619,391,True
0,4,0.0,0.9933506847617726,0.0066493152382274,2.7595500005797633,26691.668631867095,0.9478183681184423,356,True
0,5,0.0,0.1033710375766405,0.8966289624233594,0.4056366750565499,2.865973390121719,1.041145670722416,160,True
0,6,0.0,0.9839992248565821,0.0160007751434178,2.6695404257915643,260509.65531439817,0.8561258205535048,332,True
0,7,0.0,0.9969125893713252,0.003087410628674686,2.737641154816795,2833.0026726875312,0.8062250543463496,379,True
0,8,0.0,0.3528792504427832,0.6471207495572169,1.5396371880225095,3.4236879348654323,0.9812736614000073,44,True
0,9,0.0,0.9848987328365181,0.015101267163482009,2.656400229554109,53078.45237742733,1.0553102933209757,368,True
0,10,0.0,0.9917475612925001,0.008252438707499966,2.68800982952809,35988.294269726764,0.8959657922337204,370,True
0,11,0.0,0.9969939590172805,0.0030060409827195288,2.8006445874436023,8081.464522592751,0.9480275462074709,550,True
0,12,0.0,0.9847533400665317,0.015246659933468328,2.5728392176481587,146895.52037255417,0.9325501078558353,320,True
0,13,0.0,0.07374253625833231,0.9262574637416676,0.39526224489220474,2.9174395684645633,0.8942597697040034,83,True
0,14,0.0,0.14023861119045425,0.8597613888095458,0.06427625829765837,2.8918539776911327,0.9315364081339015,118,True
0,15,0.0,0.9682538808593798,0.03174611914062022,2.51724855006739,19.280356361384303,0.8389101841491649,462,True
0,16,0.0,0.13692097501321115,0.8630790249867889,1.1283174400493174,3.0047969009457383,0.929394421662919,60,True
0,17,0.0,0.990519591959908,0.009480408040092054,2.7500193289978134,26940.668317551757,1.0650696605820775,321,True
0,18,0.0,0.003712350268133182,0.9962876497318669,30635.655917633117,2.7276650426006865,0.7931775550509989,295,True
