,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
1,89,0.9950729988875039,2.7306756116142923,10.237802175797187,False,229,0.9755018216520671,2.710647666723927,5.117729098453563,False,187
1,90,0.08442103231990598,0.9483323969885795,2.83528136132455,False,61,0.0944667559063981,1.0353194341310157,2.8593475497069005,False,71
1,91,0.9924758642173431,2.585559061579397,45.833490182242386,False,203,0.9908452896302894,2.584467072932488,30.83043537249423,False,198
1,92,0.497,2.43,3.07,False,17,0.16007936782901766,0.05497647824809837,2.8162960330652327,False,106
1,93,0.9936205711058537,2.6442333643861864,18.126123036815788,False,196,0.9945288795416087,2.6455056875814207,37.6315780760126,False,245
1,94,0.9296474790557052,2.7594465606446943,3.6227751171479707,False,62,0.8578954158753838,2.754364586926531,3.29427395405253,False,95
1,95,0.8133290475549279,2.6986166534559715,3.120645238827834,False,65,0.9288514078388431,2.719941490120013,3.641975025178861,False,73
1,96,0.054636723146051634,0.6083789720003556,2.846402741327933,False,86,0.05844798236388405,0.7607251251722216,2.8668653013545407,False,115
1,97,0.24773969434473345,0.049502293227313365,2.831671063992391,False,124,0.34518792230921064,0.014789698059807283,2.845122360554104,False,151
1,98,0.14547541521675536,1.2853163337896767,2.881668506087296,True,40,0.16165312294660042,1.3433578793500844,2.9119485548143085,True,38
1,99,0.780809362838149,2.820665961461029,2.5321584482745676,False,42,0.09850576282200055,2.3774562743467684,2.8096978661240284,False,58
2,0,0.15113837858700352,2.3671860573346866,2.8530853887778265,False,70,0.10589882039912263,0.0349336981203548,2.805923577884243,False,110
2,1,0.4074180166079321,0.01482058340111635,2.8208399563469433,False,203,0.4242458706891473,0.013601788136490538,2.8348471285829193,False,334
2,2,0.7126362310182058,2.73629118947005,2.7609080596714404,False,31,0.9914927570291754,2.6901199132223557,10.831635989921516,False,142
2,3,0.02023013715057096,0.3984501376612113,2.803036910780769,False,65,0.03540156714217955,0.29609176498297984,2.819336685655352,False,104
2,4,0.9889281994670999,2.666333521473997,10.834880917433804,False,188,0.953175402676688,2.629130035003656,5.154775237923599,False,118
2,5,0.022025087956045367,0.5013776317107692,2.7825570881077275,False,101,0.02672798353064691,0.9078478940619886,2.8035314257610318,False,85
2,6,0.31149827057267626,0.04005423365093928,2.803660094861931,False,103,0.3747500806430758,0.021160084441786232,2.8168729598752438,False,142
2,7,0.8265731031202103,2.6510023047751554,3.3085122760523427,True,27,0.933060981196514,2.690055812513375,3.944866738939685,False,44
2,8,0.32084289805319716,0.03590298120754814,2.8351265650127147,False,96,0.3712089259257244,0.02261662544735234,2.8484680945168943,False,115
2,9,0.497,2.43,3.07,False,17,0.22574989118300964,0.06708001018005631,2.8100408356135698,False,97
2,10,0.14622815677189405,1.7106897834939747,2.8652154161997774,True,33,0.19355219149306385,1.8219997592324777,2.916869278963943,True,32
2,11,0.033057013743395085,1.3570134739686257,2.7922650989057023,False,105,0.06542825890935229,1.6667143392578017,2.829825237876408,False,81
2,12,0.23764966271116778,1.785764419706523,2.9700480530059186,True,36,0.27783775378402376,1.8496492594778713,3.0231326988324296,True,33
2,13,1.051353205537857,2.7725176006108834,2.6370229886371197,False,58,0.10311201635001317,2.3445075291035233,2.837526805955563,False,52
2,14,0.0506343128839537,1.3245057153726993,2.837493879895365,False,96,0.07393608649666802,1.5125594611825544,2.870362810443238,False,79
2,15,0.6544889285418788,2.437626761566785,3.301878054250167,True,14,0.7405249857649436,2.4800000916607914,3.5009729529116402,True,28
2,16,0.497,2.43,3.07,False,17,0.497,2.43,3.07,False,17
2,17,0.22153285458252459,0.03922856216557661,2.818097935457125,False,134,0.22704698043290752,0.045525005543027366,2.831829073009702,False,135
2,18,0.01436196013598683,1.14310183904843,2.8091481434442294,False,152,0.497,2.43,3.07,False,17
