,,bg,bg,bg,bg,bg,bg,bg,bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale
,,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success
0,0,0.25635998397630044,0.5015827853469438,0.4984172146530562,2.311863223081307,3.0484498849411796,0.916758455995189,222,True,0,0.5018796775137725,0.4981203224862276,2.3221174376754217,3.0567652279379782,0.9131370683907256,123,True,0.0036486188873574577,0.6283148219680867,0.37168517803191325,2.4057675694998464,3.0538371189826377,0.004780497126380734,284,True,0,0.5968898271122884,0.40311017288771156,2.427723707108305,3.078125269914371,0.005118000209708103,65,True
0,1,1.4590873528866228,0.43143911595108175,0.5685608840489184,2.313873250749521,3.0137773015343443,0.894926619458028,357,True,0,0.4461309020225814,0.5538690979774186,2.419937924426614,3.087691842809684,0.8961279039004598,123,True,0.009994143020841229,0.10051964417551873,0.8994803558244813,0.06648797046942456,2.6934061314436364,0.00418506196422971,619,True,0,0.718424353145998,0.28157564685400205,1.718851998407127,6.272832080318379,0.004914999297055658,277,True
0,2,1.1792682722537977,0.4777009883464549,0.5222990116535452,2.166922601072874,3.0363040652805937,0.6426017699745354,430,True,0,0.49631405345382207,0.5036859465461778,2.0433329945142047,3.2898930472512395,0.6394783406178385,293,True,2.9966783129387053e-05,0.11007698811871447,0.8899230118812855,0.3187069328468983,2.758852646648851,0.003139174757707601,933,True,0,0.7886033664675898,0.21139663353241023,1.789840915366118,8.22552323219956,0.003278762372773843,279,True
0,3,3.0844239815066503,0.47515954692415996,0.5248404530758402,2.3236382357084224,2.9357740476680534,1.0824742058717112,298,True,0,0.5204453113282211,0.4795546886717789,2.028135736815901,3.6096350098360244,1.0774982525350396,331,True,0.014439354593314802,0.687281011091674,0.31271898890832595,2.301695418768522,3.3490336830211884,0.005677383992306875,302,True,0,0.5911125091517258,0.40888749084827425,2.114866449544278,3.826672699669399,0.005298699421011738,298,True
0,4,2.0258694375126334,0.43981133247899473,0.5601886675210054,2.1888655269517603,2.9712773966416446,0.93482296130947,363,True,0,0.45770939629618446,0.5422906037038154,2.075758136490246,3.2613134571362865,0.9358435732096703,292,True,1.0469471383167672e-06,0.903507674930019,0.09649232506998096,2.0332605365011776,9.094926395837753,0.005513450982857893,595,True,0,0.9009184157700507,0.09908158422994928,1.8478737357634265,616782232153.2902,0.006422504732057751,236,True
0,5,0.7995548536822426,0.4385665237871481,0.5614334762128519,2.3274599187197964,3.0420361973691152,0.9198113900172524,306,True,0,0.43420690967023884,0.5657930903297612,2.3671343192656615,3.0753092365662393,0.9176662438702019,123,True,0.00033281541927121516,0.13825006081159552,0.8617499391884045,0.11355484870319432,2.8124498278558323,0.004038208761291607,931,True,0,0.8101627938927438,0.18983720610725618,1.7445200536151262,10.275163089274937,0.005549406979855039,243,True
0,6,2.6141738670524814,0.4513848384126141,0.5486151615873859,1.9520026721954151,3.0536673722042647,0.9264112186105393,247,True,0,0.47981097278885104,0.5201890272111489,1.7998463443478578,3.4842825422050474,0.9249213105040524,293,True,1.196979725137659e-05,0.93502759932161,0.06497240067839005,2.030184398172894,19.181832192481146,0.0055520433917903705,585,True,0,0.8971142045925222,0.10288579540747778,1.7703822218022855,122926229167.0548,0.005768874453154932,206,True
0,7,2.285078566783579,0.49697592156461945,0.5030240784353806,2.283815345264769,2.9445257154821114,0.8666633783252483,312,True,0,0.5308049361828198,0.4691950638171801,2.104084689220665,3.4269750690735297,0.8653490515086807,292,True,0.012552178371107336,0.7529455957999871,0.2470544042000129,2.321262052367596,3.2603068764571352,0.004719166245513935,294,True,0,0.681030791783279,0.31896920821672103,2.4265830961045385,3.0876977484677504,0.00463256242572962,64,True
0,8,0.7637885762295427,0.43344526578707704,0.5665547342129229,2.3755053717209327,3.0368996930050036,1.0739699639684401,311,True,0,0.43188589796524374,0.5681141020347563,2.3774616374251365,3.0870744002762134,1.0703967891460788,124,True,3.8244507687190676e-05,0.1386197596274743,0.8613802403725257,0.09343296012395363,2.8240562979615476,0.004895497239678543,880,True,0,0.7814792246316886,0.21852077536831138,1.6414407364305323,9.86166657730637,0.0056670441077315,246,True
