,,no_bg,no_bg,no_bg,no_bg,no_bg,bg,bg,bg,bg,bg,cont,cont,cont,cont,cont,dis,dis,dis,dis,dis,deconv,deconv,deconv,deconv,deconv
,,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev,A1,tau1,tau2,success,nfev
0,10,0.6756655043410368,2.4234310745680268,3.40661275794639,True,23,0.699307378317839,2.4293886429650877,3.497587412138057,True,31,0.5476466026328038,2.1700830654697643,3.3098333757852725,True,54,0.5215656079379484,2.309846049308357,3.2086857092222747,True,43,0.497,2.43,3.07,False,17
0,11,0.6388372996439733,2.2941279107112655,3.4228349362941626,True,37,0.70631707232647,2.340783052125901,3.6018799500151664,True,27,0.5743901832346495,2.1022919847139074,3.3783596724791733,True,108,0.5421529868400458,2.2092974203640736,3.2788254603167797,True,23,0.497,2.43,3.07,False,17
0,12,0.9331216066755548,2.4634821988990305,6.0218642363023,True,69,0.7880028760039015,2.307502435199628,4.118109401776912,True,34,0.5972162084693121,2.0062989193558596,3.5245480511081215,True,46,0.5670451040792973,2.087780872583333,3.4357721654043627,True,22,0.497,2.43,3.07,False,17
0,13,-0.20570445223251718,2.350599440907241,2.703443571385578,True,38,-0.08880092792395126,2.429637078345689,2.7542089543571726,True,42,0.5432355960429084,2.433524001249849,3.0655504770456163,True,79,0.39951880926613154,2.7706967793154025,2.7711633603073818,False,43,0.497,2.43,3.07,False,17
0,14,0.07714619485828869,2.7131757503515233,2.7121311801901284,False,50,-0.15665955076499435,2.1635203744489977,2.65353417000854,True,34,0.6436294757415354,2.4915088406217634,2.992279530311506,True,47,0.2119452893391231,2.710645248070078,2.712636088895158,False,45,0.497,2.43,3.07,False,17
0,15,0.5296883046168044,2.4299999401201573,3.209723369232533,True,12,0.5559152761976026,2.4300000252254477,3.273262482859807,True,11,0.5354677910389646,2.248124575831061,3.3097142066666256,True,13,0.5012399059637164,2.4092698239254355,3.184899888512172,True,11,0.4672405662882433,2.4356674065055643,3.2487822106970774,True,15
0,16,0.6597276417134286,2.4254299355449853,3.3608362742034803,True,38,0.7000744232323272,2.441546972666003,3.476789516210594,True,30,0.5446094087960145,2.179237260793466,3.295271462637417,True,49,0.5187416747464147,2.323777517734355,3.1921332254461703,True,70,0.497,2.43,3.07,False,17
0,17,0.4565070988612778,2.4299999293968884,3.059024184151967,True,13,0.4990279252454476,2.4299999476502827,3.127851737650087,True,10,0.5472332659409327,2.2843561974570843,3.2418101457433597,True,13,0.49237453979853213,2.452615465260402,3.0813838676575003,True,9,0.3695481389657509,2.413576770121956,3.0957032026708142,True,26
0,18,0.47075183380242513,2.4300011110272055,3.0939526323522406,True,26,0.5082202014675379,2.429999986628989,3.160125813066745,True,11,0.5417578949754158,2.276909139674171,3.259155781603972,True,47,0.49391427212754935,2.4450269796340796,3.109386655578144,True,89,0.497,2.43,3.07,False,17
0,19,0.7393596633772076,2.332428217264655,3.691993386756796,True,30,0.8095745292466652,2.3872664510405244,4.016195411626067,True,34,0.586357594225637,2.071665277931669,3.4151515275555355,True,55,0.5511429897589725,2.1652754402438057,3.313387708322603,True,46,0.497,2.43,3.07,False,17
0,20,-0.22654338477401895,1.6967124497806465,2.635981820131586,True,51,-0.1520576903295779,1.5335893117042556,2.683733994318516,True,65,1.0582606612965366,2.86670005121792,4.452964223133436,True,33,0.6753990257315601,2.798983456460233,2.7937815399473487,False,44,0.497,2.43,3.07,False,17
0,21,0.3791276337478518,2.8008953847509863,2.800763927824394,False,46,-0.20772759513650876,2.4051904167059868,2.7452949755809994,True,23,0.48692405408169936,2.456802415382728,3.036138558168032,True,10,0.44332691385851347,2.802120904841682,2.799769634626324,False,60,-0.9156494593944831,2.5700127470729766,2.7328675886539076,True,72
0,22,0.6522176226116122,2.3157314533662596,3.375854537672548,True,23,0.595228270273227,2.2592095164317083,3.3256136171464994,True,43,0.5750810246319794,2.114295013328933,3.325101251832313,True,51,0.5392034997464583,2.2237114961758637,3.217905775026077,True,33,0.497,2.43,3.07,False,17
0,23,0.6338293488941045,2.438675728042234,3.3087445404905225,True,19,0.6454323056843763,2.432849916913434,3.3701584668968234,True,15,0.5409159821517855,2.2026584662197077,3.2890023501950822,True,28,0.512584851546284,2.3538002126222026,3.178380059161619,True,13,0.497,2.43,3.07,False,17
0,24,-0.1371165650921913,0.427106551262793,2.6934160372670095,True,50,-0.730956315020891,2.1010988248866673,2.5109275092893832,True,52,0.26030058879332657,2.727051205231436,2.725363147920273,False,38,0.4995209010815412,2.758454231514563,2.7616049323780123,False,53,0.497,2.43,3.07,False,17
0,25,0.33943142403106014,2.420117568182288,2.9249507709615927,True,18,0.4219036881920106,2.4299999811696016,3.0028935997850073,True,12,0.5721189369422839,2.327809365609501,3.1991115773842154,True,27,0.48199115481014887,2.5034887401548627,2.986652164129454,True,27,0.497,2.43,3.07,False,17
0,26,0.7302482664011053,2.3557113053352126,3.6984781701702247,True,33,0.7951646323219209,2.4054848938473494,3.981300167214771,True,39,0.5763658945839695,2.0887299776558668,3.4326057815655378,True,28,0.5464628776480647,2.1920326344365253,3.338623398057958,True,49,0.497,2.43,3.07,False,17
0,27,0.7797781267160299,2.421086178144848,3.951852178774159,True,33,0.8771035788082211,2.5063806940699527,4.671440491849997,True,45,0.5729972552840282,2.1023502286759403,3.49055401204401,True,82,0.5428322541356874,2.2059112654082114,3.3957838364271855,True,17,0.497,2.43,3.07,False,17
0,28,0.258306262352535,2.433528108107955,2.8777978617944058,True,29,0.3545875296374316,2.440827577086005,2.9514048425836665,True,14,0.5616444765948033,2.3481140592165795,3.1734365828352686,True,34,0.47158571801917715,2.5546820545270443,2.9493412265003167,True,56,0.497,2.43,3.07,False,17
0,29,0.41804814629949383,2.430000224004382,3.028497440427097,True,16,0.46480983479490406,2.4299999762361972,3.0949060923506826,True,14,0.5415306007296706,2.2951801606624276,3.231159830106922,True,39,0.48795837966148675,2.474112313446776,3.0682720981195977,True,32,0.497,2.43,3.07,False,17
0,30,0.5308719894213474,2.4299997058357627,3.072165933668354,True,15,0.5701627677834425,2.429999946968909,3.148674730105967,True,10,0.5794642126022106,2.2731693830549866,3.235928026044537,True,64,0.5007230606136801,2.4117959023007445,3.050924955397485,True,11,0.497,2.43,3.07,False,17
0,31,0.43561654453700566,2.429999784289613,3.0400184103103896,True,12,0.4805054846578427,2.4300000089484817,3.1073407522873824,True,12,0.5448180801764336,2.2905162457250965,3.234749577963643,True,53,0.4900018943090344,2.464215900451027,3.072190239848644,True,10,0.497,2.43,3.07,False,17
0,32,0.7125437219164076,2.399360806898218,3.4122748576671964,True,13,0.6408546848382815,2.339093104057997,3.3356400932669032,True,23,0.6183847074713819,2.1933859438044436,3.3532323206071117,True,29,0.5299971684129136,2.2686099493405196,3.160226498127893,True,41,0.497,2.43,3.07,False,17
0,33,0.6494013688033996,2.3970541868044033,3.343300960034888,True,29,0.6769975609009015,2.405009649725162,3.4322230902788267,True,24,0.5482290867217217,2.1636138510670877,3.2907285817479277,True,55,0.5228470937731513,2.303595879930577,3.1905402853059446,True,36,0.497,2.43,3.07,False,17
0,34,0.3995467283078791,2.4291178249672485,2.971843261352091,True,31,0.45775255071894055,2.4300000183117625,3.0431331627188265,True,9,0.5702964432687001,2.314518397291243,3.215893653787924,True,26,0.48672115800678273,2.4802762676403503,3.015667588350638,True,25,0.497,2.43,3.07,False,17
0,35,0.01795930424072593,2.8081185740793857,2.8076325244256775,False,42,-0.1250194600678114,1.669108840913696,2.719005395535732,True,64,0.2495114916655534,2.7784860779084046,2.771142351646664,False,59,-0.18002131181280337,1.77663166698471,2.6801189531507017,True,47,0.497,2.43,3.07,False,17
0,36,0.3848381762962024,1.8156711408371644,3.1647482726657197,True,29,0.46983406793210264,1.936003230602481,3.29800138478574,True,30,0.6013082265451037,1.9928658977724112,3.5205318315834693,True,39,0.5704230694458609,2.0710082571639163,3.4308893628554133,True,23,0.497,2.43,3.07,False,17
0,37,-0.5762169920119501,2.3507916156833977,2.6792602614557373,True,62,-0.5669130586327705,2.4109634117523173,2.7074155459778013,True,25,0.3299683334356872,2.5215310860609454,2.9543616435431828,True,12,0.5469408859617715,2.848161775047149,2.857940384396462,False,45,-0.17069029883520476,2.13401970855381,2.826286802932298,True,30
0,38,0.4986477194901603,2.429999352971303,2.978679975964652,True,16,0.551991368943512,2.430000118398995,3.0605612689624744,True,15,0.6232188369164189,2.3074538591330196,3.2248348716056947,True,39,0.49718956074255566,2.429073039628661,2.977690058111763,True,11,0.497,2.43,3.07,False,17
0,39,0.6125804781907379,2.43000020575891,3.079222925425961,True,11,0.649345707993531,2.4300000441182927,3.168924229703236,True,17,0.6245890814815505,2.2683923626336093,3.230144058379292,True,45,0.5086553912925381,2.3729939291457236,2.9995621041330773,True,66,0.497,2.43,3.07,False,17
0,40,0.6204510054988589,2.420884063351169,3.238782409950715,True,26,0.6344265686317334,2.4150940913945425,3.301106696602962,True,23,0.5827411175927247,2.2321497966161816,3.2985071110384707,True,32,0.513533958372981,2.348945444802244,3.132412425540904,True,25,0.497,2.43,3.07,False,17
0,41,0.6079189512874298,2.4167806838461066,3.201896400729274,True,15,0.6354880135762658,2.4183490335094815,3.279885896285201,True,17,0.5876381986345698,2.2385501576658715,3.2868087416180325,True,58,0.5125332708626882,2.3539720693487043,3.112159103263444,True,57,0.497,2.43,3.07,False,17
