,,bg,bg,bg,bg,bg,bg,bg,bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,no_bg,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale,no_bg_rescale
,,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success,c,A1,A2,tau1,tau2,red_chi2,nfev,success
0,0,3.4115251846167762,0.44997084604517035,0.5500291539548297,2.162431056679816,2.909620843466022,1.188748455581773,346,True,0,0.44821183184952357,0.5517881681504764,1.8471638111558928,3.4486523227786012,1.189689037688248,234,True,0.018894546752909136,0.14195471360550815,0.8580452863944918,0.023279290891248694,2.5569338764911644,0.9069761436205624,1396,True,0,0.8876343068996391,0.11236569310036093,1.7905421012429161,580401910606.1681,1.0225454152629645,240,True
0,1,2.09991740929159,0.4584767475444717,0.5415232524555283,2.143372234331038,2.9693822495591147,1.279378281585808,395,True,0,0.474910856343859,0.5250891436561409,2.0241324384923565,3.285382919693313,1.2800417197132445,282,True,6.4924331086846365e-06,0.8953733323678121,0.10462666763218786,2.0485915913729684,7.917551661615194,1.128955757189905,598,True,0,0.9031546163655291,0.09684538363447093,1.8759428078851652,571831875.4356592,0.96868291683149,239,True
0,2,0.020771697548124912,0.4218098812752278,0.5781901187247723,2.402805798689801,3.063768060434164,0.8427117712086756,160,True,0,0.422819727446953,0.5771802725530469,2.3939643847047556,3.0616815242291695,0.8393709994370676,117,True,1.2640414270848055e-08,0.8705495808074424,0.12945041919255762,2.0538473365599312,6.616308795554358,0.8527659556857831,582,True,0,0.1555989150448296,0.8444010849551704,0.010955271637175246,2.8914116593836003,0.5532824172309262,1198,True
0,3,1.4042104917757903,0.44547553346487095,0.5545244665351291,2.1408269930948762,3.002298411049849,0.8904606462875599,360,True,0,0.4567583159167737,0.5432416840832264,2.0314979055738345,3.2251680435330803,0.8889918605807168,286,True,3.031297324618265e-05,0.9473661050500275,0.052633894949972504,2.108634397188475,16.685618279793065,0.8879206233659934,545,True,0,0.8834017506970937,0.1165982493029063,1.7151678673952029,177388865015.6719,0.9059692507034351,229,True
0,4,2.137906360078012,0.5047657655906843,0.49523423440931563,2.1930769458695494,3.0003256041743436,0.8426797882103062,349,True,0,0.53394871934396,0.4660512806560399,2.0580138271430077,3.4187005159314587,0.8425894006294395,279,True,0.015265423054289906,0.7396372280692525,0.2603627719307475,2.291687970712433,3.104649064179081,0.657570524916006,336,True,0,0.6623295960129758,0.3376704039870242,1.9865091318259136,4.39606618679285,0.5331048330843668,253,True
0,5,1.3141120141607558,0.46854186108680457,0.5314581389131954,2.2641681619529943,2.996300521452303,0.9324149672082522,353,True,0,0.46178572916655397,0.538214270833446,2.3093008330841727,3.066470272953744,0.9314057633735311,117,True,3.105842501383016e-05,0.6369750953839757,0.3630249046160243,1.8813961148305682,3.844372931985543,0.747144870559647,794,True,0,0.7750176996737301,0.22498230032626987,1.8312598679868497,7.02516087128131,0.7823506602005914,276,True
0,6,1.1138039603606322,0.47336363420124045,0.5266363657987596,2.29943784995859,2.9843196119850313,0.6860416035532683,355,True,0,0.4676096978164527,0.5323903021835473,2.321534457746592,3.062363350090002,0.6858391795096427,117,True,1.4187470185111906e-05,0.3214667086913987,0.6785332913086013,1.5157624123675326,3.087605918558923,0.5656743656726942,697,True,0,0.7576268814705076,0.2423731185294924,1.9088172457826231,5.79193547452951,0.5212999396288025,244,True
0,7,1.5236912697584217,0.5083552964387404,0.4916447035612595,2.328112561242308,2.937638588366319,1.1478465155791049,392,True,0,0.5018942676209311,0.49810573237906874,2.3443512904288006,3.062918759442381,1.146317389513426,118,True,0.01024808786516429,0.6499021216452476,0.35009787835475237,2.3802354892375885,2.969523676195146,0.8440816795141268,329,True,0,0.543952542091038,0.45604745790896195,2.423011110028547,3.080290187610319,0.8541684328138082,70,True
0,8,0.0006304101486309666,0.3978849127814728,0.6021150872185272,1.496422380164963,3.2659508431295015,0.8412328687824869,535,True,0,0.4398811547154896,0.5601188452845105,1.5846504016374299,3.339614082423177,0.8395620580159467,282,True,9.395048650162607e-08,0.9588333324616574,0.04116666753834264,1.887932095811946,1103395071992540.1,1.1975515727005264,529,True,0,0.8694371486903862,0.13056285130961376,1.415258702315104,177305842396.1569,1.0218496325513529,207,True
0,9,1.0603822852056677,0.45154135395866735,0.5484586460413327,2.1785561037707133,3.0574052804064085,1.0073791886092254,403,True,0,0.4763498748111553,0.5236501251888448,2.045632638182827,3.3083672582985937,1.0012976402113944,278,True,0.00016064746718535972,0.14241753940909985,0.8575824605909002,0.3607525161734473,2.783889210011286,0.8072052724752741,1204,True,0,0.7758889762191259,0.2241110237808741,1.6261992358749127,9.097813493977444,0.7591582314101956,411,True
0,10,0.6362050056850252,0.4452263377111245,0.5547736622888756,2.417640297681316,3.0303102484104762,0.7679345174825677,282,True,0,0.44758433184845897,0.552415668151541,2.4315929406815626,3.073931988944042,0.7653378984977107,82,True,0.0003357530049590274,0.10731197157703276,0.8926880284229672,0.09183571541016922,2.81120757438984,0.5781620726833601,686,True,0,0.7311006598402294,0.2688993401597706,1.7550491711634857,6.478985573510483,0.671838049375557,278,True
0,11,2.753875415801896,0.5137238999991387,0.4862761000008614,1.9573031297978787,3.037355467205998,0.9606331672580971,390,True,0,0.5417193343521722,0.45828066564782777,1.8252002286054245,3.525722508783704,0.9605641716163541,283,True,0.00014537445114282121,0.8161254201377615,0.18387457986223854,2.0851239633022827,5.093334539149419,0.7388424067197054,808,True,0,0.7799377751043177,0.22006222489568228,1.9463071326243835,6.0420304797589415,0.5627078270098786,245,True
0,12,0.2412892077481743,0.41845978564969155,0.5815402143503086,2.2187649925171895,3.0377649874163337,0.9727414551771467,202,True,0,0.4190810258409246,0.5809189741590755,2.227844897192119,3.0459891330376063,0.9693267453004544,120,True,9.762191055529001e-12,0.9655394854182735,0.0344605145817265,2.1130157818612347,12041213619897.07,1.0524177456204606,496,True,0,0.8655825280792429,0.13441747192075715,1.6128528760869147,639510310393.2483,0.8834447923408356,247,True
0,13,0.5965970368621272,0.41880825014190315,0.5811917498580969,2.058624310743528,3.0242299921587943,1.1133610029278629,199,True,0,0.41701801664504534,0.5829819833549547,2.0843277367632833,3.04889902156489,1.1101224504556453,153,True,3.7095437832590505e-11,0.9634801781565054,0.03651982184349456,2.0182498724880062,3423202286708896.5,1.2671717510001865,522,True,0,0.8810366470404656,0.11896335295953442,1.589553656179254,536159817207375.8,1.1599318956794766,260,True
0,14,1.4498743270766177,0.39611851670894893,0.6038814832910512,2.145553973288214,3.025127506097906,0.8663281288268351,355,True,0,0.41886299167068236,0.5811370083293177,2.0076297956853617,3.2783892507244765,0.8638810642337874,281,True,1.6275869541004795e-13,0.9549538587497177,0.04504614125028228,1.9853264560021513,1718208697197881.0,1.1278294145031476,527,True,0,0.44757563663687905,0.552424363363121,0.8667837607619302,3.8167505677442737,0.8598550880906455,1483,True
0,15,1.5836657427513656,0.4353756164427346,0.5646243835572655,2.1459564604355625,3.0386005459270544,0.919846117314435,350,True,0,0.4632676957321014,0.5367323042678985,1.9980242575986749,3.353493917381642,0.9165444757988358,277,True,3.4880815826809908e-06,0.9080374034360184,0.09196259656398165,2.0252266587120675,9.707985774041013,0.9095400131531922,639,True,0,0.8728433726007223,0.1271566273992777,1.6845585294524494,42437215124.541374,0.8961380733741775,220,True
0,16,3.2192344565730773,0.49326675291543537,0.5067332470845647,2.0349505631739713,2.984643561550077,0.9958179455981814,245,True,0,0.5222554804484089,0.47774451955159114,1.8960594979990284,3.520358330633247,1.0061842221487345,276,True,4.266510061023965e-06,0.9007445630501274,0.0992554369498726,2.152718286896521,8.098401650408338,0.8129788774847521,751,True,0,0.796548268005238,0.20345173199476196,1.9172465545483468,6.835565658887267,0.6139261898166861,282,True
0,17,4.723959197044074,0.5236515666967679,0.47634843330323207,2.3526280969340068,2.466469367071538,1.0084709633419353,702,True,0,0.49667889444185626,0.5033211055581437,1.7843378991313004,3.4410917331718593,1.0163248486405105,282,True,4.52210816133114e-05,0.9400328576730865,0.05996714232691347,2.072028833971371,17.430958933861874,0.8875628194559722,711,True,0,0.8958046699946935,0.10419533000530645,1.7981108246169697,195000604111.24622,0.8145136938882649,236,True
0,18,1.19500052989315,0.38332170536561555,0.6166782946343845,2.1389499361117728,3.068151422925677,0.8551191314250141,355,True,0,0.41278892929667527,0.5872110707033248,1.9604483405550446,3.3317055194584713,0.848700648393631,281,True,5.607292408171816e-12,0.9505703209465814,0.04942967905341855,1.938317991556616,707693965159779.5,1.2339687378760287,513,True,0,0.8492196351236732,0.15078036487632684,1.4131521907038787,1.3485682843681416e+16,0.9946368758393466,258,True
0,19,2.1038454360152588,0.4040212380779267,0.5959787619220732,2.038603586002248,3.029058606256873,0.8792697535930696,346,True,0,0.4312050702713998,0.5687949297286002,1.8878863585509258,3.376255783599408,0.8784701144663504,282,True,3.5806602127763654e-10,0.9535665290762974,0.04643347092370265,1.9682513127288703,1416801195654106.2,1.09860872078365,525,True,0,0.8664587048499615,0.13354129515003854,1.5204240045898136,1055272065041182.9,1.0954834866715373,246,True
