,,no_bg,no_bg,no_bg,bg,bg,bg,deconv,deconv,deconv,cont,cont,cont,no_bg,bg,deconv,cont
,,A1,tau1,tau2,A1,tau1,tau2,A1,tau1,tau2,A1,tau1,tau2,success,success,success,success
0,0,0.999640141829822,2.7403385458766136,100.0,0.9995225190135044,2.739630670059116,100.0,1.000120949258965,2.749070749973681,100.0,0.13829447632669026,1.0622027984145341,2.864224970751755,False,False,False,True
0,1,0.9998590022345808,2.756798012946201,100.0,0.9997427974638884,2.7560995884164186,100.0,0.0869866866512992,1.56973359375,2.649375717157949,0.21380389196989721,1.2212904111420173,2.9778218358617057,False,False,True,True
0,2,0.9167021336800992,2.583993913118627,4.113767187500001,0.950543390558086,2.601895260814072,4.960446875000001,0.999634247598346,2.6993134154474574,100.0,0.22502467366851694,1.2076082121489935,2.996645681260197,True,True,False,True
0,3,0.0762086635556788,1.10038359375,2.859261394872012,0.4148646444662617,2.2049875000000005,3.1511927932622,1.0000237915745391,2.71668583435107,100.0,0.3108600111354829,0.006176733295232702,2.7880249507195067,True,True,False,True
0,4,0.8897102480282737,2.599050357274532,3.822463281250001,0.9650298062458468,2.650441824864167,5.329875781250001,0.6363502095557958,2.3838425781250003,3.2241069005175795,0.29998421372991685,0.006176733295232702,2.789748320837427,True,True,True,True
0,5,0.999758440959639,2.771596682097651,100.0,0.1303056982815246,1.423481640625,2.928133935657089,0.999764588077791,2.6732718201552914,100.0,0.14254786938107147,0.7536079484769775,2.786257328007398,False,True,False,True
0,6,0.9997647956006914,2.734697338178941,100.0,0.9996497487599526,2.7340049520573912,100.0,1.0000594927482385,2.7303835235712137,100.0,1.1050531620081823,4.055341852168402,12.582678939736557,False,False,False,False
0,7,1.0001254665020332,2.8037290103375017,100.0,1.0000093233975909,2.8030328596808087,100.0,0.9996497806937314,2.6354656775294245,100.0,0.11171146555924431,0.6481588533544989,2.888703966002344,False,False,False,True
0,8,0.9997314610788028,2.7454319410518826,100.0,0.9996151529788307,2.7447323018531926,100.0,0.0467828980536828,1.304829296875,2.679871128219336,0.12561714057256212,0.6188571558489337,2.8077779985419427,False,False,True,True
0,9,0.9998536224821848,2.7311995101228748,100.0,0.3174811467740102,2.1415109375000005,2.990089219272369,0.0730078047852404,1.90722421875,2.664717226638155,0.14274633116318405,1.5358947807991803,2.889060066964968,False,True,True,True
0,10,0.9996440308558666,2.727802058848184,100.0,0.9995279115660982,2.727102775716648,100.0,0.9996629674204104,2.6434573112936945,100.0,0.1485892447570668,0.3652038778814558,2.84033025402396,False,False,False,True
0,11,0.9997495396254322,2.7853567983373666,100.0,0.9996326491887167,2.784655036489878,100.0,0.9997953703181262,2.681266539822266,100.0,0.1758304700893023,0.36251987641473077,2.8452883073005255,False,False,False,True
0,12,0.9999713435564236,2.708831631854228,100.0,0.9998602379078484,2.7081623306283653,100.0,0.9989923868962832,2.638987621414291,18.90380625,0.3656534916492798,0.006176733295232702,2.842537560453048,False,False,False,True
0,13,0.9998147490359098,2.7596435501177417,100.0,0.1048408034407069,0.3999999999999999,2.8352647885524918,1.0000441074233457,2.7230377066928555,100.0,0.47031356884531494,0.052856823838283135,2.8286373276964003,False,True,False,True
0,14,1.0418200563198614,2.9219210489513787,5.028317968750001,1.0587981447464203,2.91759670181278,4.2410203125,0.9998486959425198,2.6298202670011803,100.0,0.10960194103098217,0.5959358818338271,2.823142769889823,False,False,False,True
