,,A1,tau1,tau2
0,0,0.4802756261630275,2.778866375175725,2.7784208142666222
0,1,0.502620893738091,2.3589052533404624,3.090377997486143
0,2,0.5162835560455864,1.959878585725646,3.425708057633275
0,3,0.5047972716239688,2.2052499750159975,3.2576149960439538
0,4,0.5240494367328844,1.9520321246917163,3.3396803425492667
0,5,0.4958363969835641,2.856260522645054,2.856658032479461
0,6,0.6991596914690716,2.7761810377234557,2.776258998532376
0,7,0.5086198928770012,2.2320418966444597,3.176541490647649
0,8,0.5104785772115001,2.2622080198073777,3.115468148296141
0,9,0.513082149914529,2.142897296588848,3.2340373712437605
0,10,0.6252385476658936,2.749063683470375,2.7587466548566124
0,11,0.49817412426080077,2.5190274175087755,2.943019737159584
0,12,0.49075494718621315,2.6090832797642283,2.9209031584525573
0,13,0.4991306046696911,2.5131460362987883,2.9386334903579123
0,14,0.5059116023547079,2.18091135546975,3.274597307984314
0,15,0.49919515702230965,2.355597685168449,3.136878792712513
0,16,0.5024170668336209,2.348977347048828,3.1054389010755767
0,17,-0.22130408999732387,2.76208647270481,2.75025121076479
0,18,0.48514583552732293,2.5878299868737873,3.017049818354083
0,19,0.5066717401986407,2.2875005326193145,3.1305444176899218
0,20,0.5002124508683706,2.7705869485420256,2.7704270714208548
0,21,0.333347193281327,2.745430909087093,2.7463890278137133
0,22,0.5029892674994185,2.7884676325233912,2.7921262433310083
0,23,0.6514328413821783,2.799312167170405,2.7991241544533656
0,24,0.6614882274487704,2.804621201850945,2.804884443113335
0,25,-0.5415534383024,2.8132867636709697,2.795267990764603
0,26,0.522420765486232,2.033763381855366,3.2565440579848386
0,27,0.3219045478425209,2.781113709501563,2.781580438598519
0,28,0.584004241527846,2.7860218235114873,2.781854538030429
0,29,0.48661072819442724,2.773119672129938,2.772878147346153
0,30,0.49497263611658504,2.6132837753385005,2.863490151406398
0,31,0.5011048629919128,2.353369494019997,3.11610128111376
0,32,0.49508460341625626,2.4114004075045377,3.117161301063889
0,33,0.4854962394992604,2.749107442760577,2.7481274255290495
0,34,0.5077906698624359,2.16485546691328,3.2716676023538396
0,35,0.49731371123878937,2.542516203134899,2.9239743258318147
0,36,0.49274107670466166,2.4865824137594377,3.0511302963876776
0,37,0.4996725972501663,2.3915211360305477,3.085595592974041
0,38,0.5095166445945642,2.1628336901172127,3.2528990217655283
0,39,0.5014598335730136,2.264629815123211,3.2238271774400946
0,40,0.5130418048596186,2.065563100632333,3.3417837563835096
0,41,0.5011108267028009,2.260173971516143,3.2337685176429156
0,42,0.5253260720840301,2.732879209564244,2.7373363769879973
0,43,0.4932925027239658,2.4988614072517437,3.0288059390372544
0,44,0.5047037539363517,2.3363780561554353,3.093106371408323
0,45,0.4870334650248565,2.6135514855967332,2.96123360202819
0,46,0.4945463946326163,2.4478586781150153,3.0777499244483826
0,47,0.5075005490699942,2.207680869338398,3.2211472563407946
0,48,0.514647129297293,2.0482311035563447,3.3343023174514324
0,49,0.5015523690710898,2.4545452787459534,2.982749632032781
0,50,0.47648693048207247,2.73399001208439,2.7335027740326
0,51,0.49718531696942436,2.526312404113905,2.9460318136730024
0,52,0.4960137708106368,2.4484695397625535,3.058850053123785
0,53,0.4977908342459405,2.4454712617808103,3.04068388862664
0,54,0.4968784055635556,2.3266642102477975,3.2020540797112282
0,55,0.5045093649096792,2.333652766079294,3.098951178582104
0,56,0.49885480487773814,2.3949422387472126,3.0913766379497534
0,57,0.515206491904449,2.0318276705715617,3.354767377206728
0,58,0.47108649761400606,2.785889711601024,2.785991734052704
0,59,0.58274487113674,2.7889260796877373,2.7880317824005427
0,60,0.5018299524696788,2.3176452525271767,3.1522762838713665
0,61,0.37671555080512775,2.7981558648663905,2.799803991959381
0,62,0.4985148636697725,2.4374761289206615,3.041840056066673
0,63,0.5008790649131916,2.3518921925396308,3.120757115116367
0,64,0.4282127991733067,2.8765262315663813,2.878893158082564
0,65,0.4866469176924218,2.399250385297181,3.2367514715775014
0,66,0.5011597678218402,2.481214596000579,2.953906497037091
0,67,0.5090228981521072,2.176633675326835,3.2415641281935197
0,68,0.2801697005544196,2.766989649998111,2.766577826576724
0,69,0.4699844670293908,2.786021582187397,2.7859878245682608
0,70,0.5001325143984591,2.2398435096259184,3.2715394656947727
0,71,0.49711803883302574,2.3473799925824643,3.172921696571842
0,72,0.49893538815895205,2.356833608441725,3.1385266590409877
0,73,0.5036790409665395,2.281302228227719,3.175347384239916
0,74,0.4966590059413865,2.4051569015761696,3.105598753059989
0,75,0.49988147938339095,2.8159531823667017,2.8153171966571
0,76,0.30851698458061816,2.781923856301064,2.781916667771455
0,77,0.48659558702613587,2.7733847986361244,2.773449030209261
0,78,0.48230806298884116,2.787665573548072,2.7876774414438685
0,79,0.48689755788241385,2.5543851702540112,3.0376616955985654
0,80,0.515390382060897,2.0909449659897805,3.271156696224353
0,81,0.4987203543106532,2.2648265039529982,3.2574226099883385
0,82,0.49897390017208554,2.2990242445380376,3.211085470314047
0,83,0.4839137054237746,2.747441191879995,2.8306227617335455
0,84,0.507822755801997,2.226721571236024,3.1931113219625513
0,85,0.48960822887722333,2.649306576861652,2.8842525123346827
0,86,0.5062933436279963,2.270043904141224,3.157273414333749
0,87,0.5309792106352668,2.7513124821924158,2.752273796187443
0,88,0.5045824205691142,2.353778707107654,3.0726219712908813
0,89,0.5533786338645854,2.784702965162566,2.7857595617643685
0,90,0.4974298333862074,2.4651834209767776,3.0202399978183747
0,91,0.4766676904061271,2.8042612206466178,2.804620507664558
0,92,0.5021801845694909,2.290806361377947,3.181857015099462
0,93,0.48619423238927023,2.5440422401448,3.0594178939469088
0,94,0.4984031208347125,2.318310488772573,3.1937712190233474
0,95,0.49204134071955036,2.7764881102112255,2.7767979989516256
0,96,0.5061498070933053,2.381781302711533,3.0178805089675156
0,97,0.5067327184982078,2.2509193639438334,3.176006602568163
0,98,0.4947957060844846,2.4666463605975237,3.050933972731408
0,99,0.4440662634847343,2.7724212758853373,2.770333489819586
1,0,0.39967123832198237,2.737579168789453,2.73837307814817
1,1,0.4991267506849128,2.4726198799718433,2.989881130475502
1,2,0.27259814080730566,2.746441386174845,2.746437007295946
1,3,0.4994751099312095,2.40265955959194,3.073963422943137
1,4,0.5049412183478187,2.744150699734471,2.7447981237811057
1,5,0.5051058095916969,2.2264272521738806,3.2270484603006233
1,6,0.6092834909250491,2.7997453691387704,2.805595171388831
1,7,0.5128497854674358,2.1630537274060218,3.2114428277144356
1,8,0.40302341819994314,2.7594794897302806,2.761113543731499
1,9,0.5081749269177789,2.217590198587993,3.2002966669053774
1,10,0.4876243911167653,2.6641059826808977,2.8900639521687363
1,11,0.46555219262005804,2.7917791715683506,2.792835306474337
1,12,0.49288579095571244,2.437435919442916,3.111433191023101
1,13,0.49389260798264517,2.4382166462108876,3.0980084531927368
1,14,0.4964367299584247,2.5681299217954487,2.902448941225097
1,15,0.5076652690895799,2.2535012103300867,3.1612239619520435
1,16,0.47974527726836336,2.7711975929138153,2.7709750415310306
1,17,0.4908345205807148,2.612794857859222,2.9152308293985216
1,18,0.5113611932041288,2.3203039323180947,3.031167287912028
1,19,0.48681923318302023,2.6238798141866346,2.9508315136593444
1,20,0.5050889866352822,2.2945290156944367,3.141218242683364
1,21,0.502669273994555,2.2260643854657327,3.2576081446647467
1,22,0.5164950531494765,2.1061261376995284,3.2383296106503465
1,23,0.5066753745790366,2.3021850070048755,3.1119473800145134
1,24,0.5008551151337391,2.476144089103258,2.964076130994559
1,25,0.4993946691675056,2.758270641240594,2.7586296372182106
1,26,0.49031935036149876,2.5059570834125258,3.056571337381446
1,27,0.49870748807615073,2.4076918347945693,3.07708888932859
1,28,0.5129781055276148,2.0877989420254885,3.304932536786816
1,29,0.5095950437923719,2.179909096294635,3.230357520106556
1,30,0.508848684876013,2.2435262117274686,3.1592061316982627
1,31,0.48965247888811475,2.5997706493700545,2.946288306378456
1,32,0.7026264300417421,2.7886353615384127,2.788915238344253
1,33,0.4888382944393324,2.6255298232922475,2.923803401018278
1,34,0.4960407965724663,2.537981992206399,2.945428467910788
1,35,0.7613088109998034,2.797443283483235,2.7973013735497667
1,36,0.4903808704876353,2.4980271066075397,3.065829905910435
1,37,0.49605034973189166,2.4410891184167003,3.0677223195178316
1,38,0.5109777500166769,2.1504765591300736,3.250459936575343
1,39,0.4946022468489524,2.450765617710205,3.073387343189377
1,40,0.5035098775144833,2.2456906301865724,3.2224282344810007
1,41,0.50696434479212,2.3587792792442754,3.036877770250092
1,42,0.5172884879825502,2.023278202568672,3.3331954148503913
1,43,0.49351511984696883,2.4658429261434245,3.067769744773477
1,44,0.4892233516646724,2.61341579220215,2.934350963524226
1,45,0.4957567387066303,2.395094063828007,3.129458771348711
1,46,0.5030909291874055,2.300035017899951,3.158946478975611
1,47,0.51572159207357,2.0713735758234426,3.2917905934555622
1,48,0.49747387585124114,2.314571315511525,3.2099752459196695
1,49,0.3013191603261024,2.7811659497690013,2.7799705853355006
1,50,0.49300558172823666,2.5192828015044055,3.006549800361088
1,51,0.5045030530709126,2.323840685069763,3.1114253135698946
1,52,0.5878788618320973,2.81034188493964,2.8093864981124246
1,53,0.5009242163916428,2.3473462974936026,3.125942235383336
1,54,0.4903053244327003,2.6134669333506975,2.920919359212519
1,55,0.5055033192867707,2.2677089861243602,3.169983378041972
1,56,0.49705904255987743,2.522175303182981,2.952818748417071
1,57,0.47033940476116903,2.7912596971893446,2.79126162038869
1,58,0.5069291841309862,2.2169130885921278,3.216542259364184
1,59,0.497462943510316,2.438339207849076,3.053745287925832
1,60,0.4834752804251966,2.7748168001935394,2.7754094777675333
1,61,0.49891214858491517,2.351602443026224,3.1454224634032175
1,62,0.4949362287027389,2.5098095557823914,2.9946667075227684
1,63,0.501074696980953,2.353244440411681,3.116631526953394
1,64,0.5010710085614146,2.355698088481874,3.113578871822649
1,65,0.5021579032741944,2.328756951124602,3.134186402314435
1,66,0.5009321704695653,2.273040178876172,3.219720520022107
1,67,0.5002432549057215,2.2942937220174557,3.2013801273744136
1,68,0.49445441796019274,2.4518048056093864,3.0739008031627337
1,69,0.4902892927603662,2.6328966076920484,2.89657045808676
1,70,0.5002591586796343,2.5037114750824796,2.9366107468603238
1,71,0.49769328643742433,2.478996111810579,2.999534535900757
1,72,0.49702732138014505,2.42693201806282,3.0735385241865765
1,73,0.49869803804956825,2.2952907189135607,3.2192105784454035
1,74,0.48426656114998634,2.6524392823476926,2.9462863602690286
1,75,0.49403594648295296,2.4956345911064686,3.023697365458241
1,76,0.4921774485455782,2.445704318528183,3.1097381021689645
1,77,0.4853519429316213,2.5536633918765834,3.0576683472769295
1,78,0.5033388335058189,2.3155418314592167,3.136292662311761
1,79,0.5034466463793381,2.27382403674742,3.187666068025848
1,80,0.5066881201339816,2.2490910967732187,3.1788675403441418
1,81,0.4980203764204436,2.434461900107701,3.0517570222241006
1,82,0.5114119443807558,2.1445081797172163,3.252635972588783
1,83,0.513442843200968,2.1278219795463396,3.2486269473564127
1,84,0.49175678887273894,2.5219065564553977,3.018662933705479
1,85,0.4989419081083499,2.433743676158101,3.0412798982837295
1,86,0.5092724785102071,2.2140679820153446,3.191187196678825
1,87,0.5062298625872159,2.232909561756786,3.204972209196877
1,88,0.49805786106934075,2.3818020448808768,3.117821877638092
1,89,0.501772926340664,2.2930128157063083,3.184101099040414
1,90,0.5069353117167106,2.4306910338302004,2.9463849797301775
1,91,0.3446897750608839,2.7960013004101194,2.793436843477094
1,92,0.4975301388969107,2.3445899659849236,3.1713555470013364
1,93,0.4960890989325725,2.43831356371227,3.0707503331144084
1,94,0.3960827905893297,2.785618053794876,2.7857726598704526
1,95,0.5017071245074674,2.3284200359933482,3.140181022115515
1,96,0.5001183868038322,2.353014651416057,3.1287364303976983
1,97,0.4821558645727348,2.8076370893961657,2.807773262447268
1,98,0.4945032732585425,2.4545582150885945,3.0698186512448555
1,99,0.5099459411804905,2.1344633179843986,3.283437781430734
2,0,0.4929053497440299,2.5829285477253014,2.927379558976479
2,1,0.49999131945730496,2.420525769372725,3.0450145046993176
2,2,0.4953954931476074,2.4296920301170433,3.090211404591372
2,3,0.5038260208061207,2.2136148791991643,3.259045834254944
2,4,0.4972418066156799,2.378993034147808,3.131453614798951
2,5,0.5083589998567988,2.16996018848985,3.258197157095949
2,6,0.4990990425534759,2.3595141665689896,3.1331182113382714
2,7,0.4986554276621882,2.361897676837488,3.1355872942009437
2,8,0.3916462080341513,2.7877574289609433,2.7877063170929124
2,9,0.49225031343893727,2.478590540633477,3.067290075640228
2,10,0.49967824140698064,2.3888981142796433,3.0888398794177347
2,11,0.49581256130561185,2.449829971049344,3.0596170406456022
2,12,0.5036871488921701,2.2470586984624465,3.218509536999678
2,13,0.5022704289346597,2.3567227119097565,3.097465125344109
2,14,0.494047089034887,2.4326707754845502,3.103106486499394
2,15,0.49544123916200045,2.4972694528179757,3.004270661294348
2,16,0.500301538829223,2.3984071451892075,3.069126119844348
