,,no_bg,no_bg,no_bg,bg,bg,bg,deconv,deconv,deconv,cont,cont,cont,no_bg,bg,deconv,cont
,,A1,tau1,tau2,A1,tau1,tau2,A1,tau1,tau2,A1,tau1,tau2,success,success,success,success
0,0,0.999640141829822,2.7403385458766136,100.0,0.9995225190135045,2.7396306700591158,100.0,1.0001209492589653,2.7490707499736815,100.0,1.001608863294223,2.9050553532779912,34.103051562500006,False,False,False,False
0,1,0.9998590022345809,2.756798012946201,100.0,0.9997427974638885,2.7560995884164186,100.0,0.08698668665129924,1.5697335937499999,2.6493757171579495,0.9999599579773346,2.7198667931458034,747.734543359375,False,False,True,False
0,2,0.9167021336800992,2.583993913118627,4.113767187500001,0.9505433905580861,2.601895260814072,4.960446875000001,0.999634247598346,2.6993134154474574,100.0,0.9999523846443462,2.7602607334054254,67.19923125,True,True,False,False
0,3,0.07620866355567887,1.10038359375,2.8592613948720116,0.4148646444662617,2.2049875000000005,3.1511927932622,1.0000237915745391,2.71668583435107,100.0,0.9999325620623222,2.808383304683108,82.58352031250001,True,True,False,False
0,4,0.8897102480282737,2.5990503572745314,3.8224632812500006,0.9650298062458468,2.650441824864167,5.329875781250001,0.6363502095557958,2.3838425781250003,3.2241069005175795,0.9999221388459988,2.768559985963725,81.546743359375,True,True,True,False
0,5,0.999758440959639,2.771596682097651,100.0,0.13030569828152463,1.423481640625,2.9281339356570886,0.999764588077791,2.6732718201552914,100.0,1.000723768974608,2.880136557686411,46.47447773437499,False,True,False,False
0,6,0.9997647956006914,2.7346973381789406,100.0,0.9996497487599526,2.7340049520573912,100.0,1.0000594927482385,2.7303835235712137,100.0,1.0002909759430636,2.8121705491557125,55.57707265625,False,False,False,False
0,7,1.0001254665020332,2.8037290103375017,100.0,1.0000093233975909,2.8030328596808087,100.0,0.9996497806937314,2.6354656775294245,100.0,1.000185051727861,2.818613569091439,110.518423046875,False,False,False,False
0,8,0.9997314610788028,2.7454319410518826,100.0,0.9996151529788309,2.7447323018531926,100.0,0.046782898053682825,1.304829296875,2.679871128219336,0.9998239071831403,2.7522100921794634,130.21837421875,False,False,True,False
0,9,0.9998536224821847,2.7311995101228748,100.0,0.31748114677401024,2.1415109375000005,2.990089219272369,0.07300780478524042,1.90722421875,2.664717226638155,1.0003302858967387,2.7982249889910613,59.61906484375,False,True,True,False
0,10,0.9996440308558666,2.727802058848184,100.0,0.9995279115660982,2.727102775716648,100.0,0.9996629674204105,2.6434573112936945,100.0,0.9997787457371311,2.723863865162274,164.87179453125,False,False,False,False
0,11,0.9997495396254322,2.7853567983373666,100.0,0.9996326491887169,2.784655036489878,100.0,0.9997953703181262,2.681266539822266,100.0,1.002904437136474,2.982343374359903,30.865746875,False,False,False,False
0,12,0.9999713435564236,2.7088316318542276,100.0,0.9998602379078484,2.7081623306283653,100.0,0.9989923868962832,2.638987621414291,18.90380625,0.9999688004461139,2.7031607984673625,157.3282375,False,False,False,False
0,13,0.9998147490359098,2.7596435501177417,100.0,0.10484080344070695,0.3999999999999999,2.8352647885524913,1.0000441074233455,2.7230377066928555,100.0,1.000017692747198,2.7990814646909796,80.73800546874999,False,True,False,False
0,14,1.0418200563198614,2.9219210489513787,5.028317968750001,1.0587981447464203,2.91759670181278,4.2410203125,0.9998486959425198,2.6298202670011803,100.0,1.0000876194978279,2.8265535642339406,230.67971171875,False,False,False,False
0,15,0.9998906579796852,2.720161198975211,100.0,0.9997765409108199,2.7194740636521226,100.0,0.9998490454239258,2.682686492411359,100.0,0.9999724576172512,2.6810653745343878,1000.0,False,False,False,False
0,16,0.9967532869831754,2.718865457259858,13.526276562499998,0.9966446405219878,2.7173428390371246,16.554441015625,0.9998505029607283,2.706478181083097,100.0,0.9998482010891824,2.761421643187402,91.033659765625,False,False,False,False
0,17,0.9963859180659792,2.765258533449716,8.503959765624998,0.9965616147453895,2.763153292559636,12.13573984375,0.999780604071373,2.6762653878513505,100.0,1.0000044080126094,2.8042581767560404,95.54934062500001,False,False,False,False
0,18,0.9999482756105478,2.786715888767785,100.0,0.9998306906360032,2.7860103012218227,100.0,0.05075941858776274,1.36122578125,2.662779961347519,0.9999771671130046,2.7467323841353766,1000.0,False,False,True,False
0,19,0.9808526408767494,2.716246234882437,5.381977734375001,0.9896040996333733,2.724175781266939,7.824660546875,0.9995850729572522,2.6740325989645797,100.0,0.999948960257425,2.789780675496165,90.35368398437501,False,False,False,False
0,20,1.0000500581426799,2.818173537156173,100.0,0.999933848399349,2.8174772943027095,100.0,0.9997979043854903,2.6517636274081307,100.0,1.000165163521845,2.84056428170444,101.48049296875001,False,False,False,False
0,21,1.0000492636980727,2.80339160127992,100.0,0.02415676652551282,0.3999999999999999,2.819134600189673,0.15750681550358886,2.1259742187499997,2.8022332340079785,1.0007040535536422,2.8738004709462164,60.46135,False,True,True,False
0,22,0.06941418926345945,1.70009296875,2.836082849511763,0.7930385463743722,2.576306758801774,3.4984328124999995,0.8594839805492913,2.573394969531577,3.6180734375000005,1.0000750524643485,2.8040919693711333,83.22071562499998,True,True,True,False
0,23,0.9997365401386955,2.7577494483553737,100.0,0.9996163641746555,2.7570269940236036,100.0,0.031091122443510925,1.82899921875,2.7225977872221794,1.0008653022217078,2.8768720511593644,43.17589374999999,False,False,True,False
0,24,0.9998698837912179,2.734881273445435,100.0,0.9997547420999414,2.7341884826922143,100.0,0.9996731292526935,2.670833752604661,100.0,0.9999405248120072,2.7465347287703783,115.169213671875,False,False,False,False
