Number of Photons,Number of Failures
10000.0,2
18329.807108324374,3
33598.18286283781,15
61584.82110660267,29
112883.78916846884,24
206913.808111479,3
379269.0190732254,0
695192.7961775606,0
1274274.985703132,0
2335721.4690901213,0
4281332.3987193955,0
7847599.703514607,0
14384498.882876629,0
26366508.987303555,0
48329302.38571752,0
88586679.04100832,0
162377673.91887176,0
297635144.1631313,0
545559478.1168514,0
1000000000.0,0
